bin_n,pu,pu_err
0,0.000000,0.000000
1,223456.040829,28702.386642
2,382710.584808,54436.123288
3,831183.656534,105157.130453
4,706719.566595,118467.511807
5,941962.475443,146816.047194
6,1172045.567650,176115.036600
7,1106490.241406,164811.505406
8,2126883.833236,230535.013884
9,3212042.032585,337119.802337
10,2558556.242650,225755.993273
11,11958048.676518,530224.924016
12,41406527.669144,1152251.893342
13,79796059.835389,1605000.149300
14,126636923.839274,1960134.790028
15,189767685.769135,2436088.397206
16,255747812.192041,2860553.591519
17,308738743.748853,3157312.292442
18,341832466.544672,3310336.650068
19,361116378.455007,3364218.316215
20,377934624.969038,3353277.170421
21,403840005.504498,3458370.516417
22,432924188.784617,3688132.577410
23,445126383.138993,3749477.334094
24,434366524.812956,3582578.319528
25,413870034.700527,3430613.269042
26,395759505.208674,3359919.316960
27,381582674.609070,3284868.848809
28,368904435.930057,3204525.470778
29,356270984.977265,3134351.590254
30,342912177.747425,3064486.522133
31,328082901.121322,2988999.480306
32,311125477.291252,2908453.445483
33,291561937.444997,2817743.002488
34,269151362.289231,2709740.389069
35,244000126.141940,2583081.502533
36,216565127.806428,2437322.598016
37,187544644.513874,2266505.889480
38,157808724.874655,2063046.033818
39,128421687.058321,1825788.018281
40,100607206.935521,1562950.047251
41,75577972.362802,1289640.228448
42,54280623.876933,1023256.230105
43,37194354.566883,779328.209484
44,24283745.504285,568957.057226
45,15094852.984182,397727.379480
46,8929702.164823,265899.173780
47,5026545.453915,169741.295528
48,2692381.452365,103244.718716
49,1372515.468424,59678.647104
50,666145.970080,32691.535114
51,308006.505363,16929.745647
52,135806.927437,8274.963313
53,57193.169742,3816.861821
54,23061.715841,1664.700226
55,8936.116826,690.033271
56,3344.721305,274.332099
57,1217.640738,105.984588
58,434.863117,40.362514
59,153.868811,15.305972
60,54.511317,5.793731
61,19.541182,2.186792
62,7.161659,0.828000
63,2.709690,0.322194
64,1.067247,0.134115
65,0.439615,0.061134
66,0.189161,0.029885
67,0.084404,0.015057
68,0.038620,0.007607
69,0.017909,0.003804
70,0.008333,0.001874
71,0.003861,0.000908
72,0.001773,0.000432
73,0.000805,0.000202
74,0.000360,0.000093
75,0.000159,0.000042
76,0.000069,0.000019
77,0.000029,0.000008
78,0.000012,0.000003
79,0.000005,0.000001
80,0.000002,0.000001
81,0.000001,0.000000
82,0.000000,0.000000
83,0.000000,0.000000
84,0.000000,0.000000
85,0.000000,0.000000
86,0.000000,0.000000
87,0.000000,0.000000
88,0.000000,0.000000
89,0.000000,0.000000
90,0.000000,0.000000
91,0.000000,0.000000
92,0.000000,0.000000
93,0.000000,0.000000
94,0.000000,0.000000
95,0.000000,0.000000
96,0.000000,0.000000
97,0.000000,0.000000
98,0.000000,0.000000
99,0.000000,0.000000
