process,energy,pat_sign,pat_len,geom_sign,geom_len
32,59.217425,4.234292,0.280467,2.416477,0.587949
32,122.151503,10.674993,0.824437,17.124105,0.739897
42,49.444927,6.352597,0.103879,63.527973,0.336996
42,83.118406,6.250426,0.212739,3.629108,0.497080
24,34.810008,25.119965,3.312094,2.185048,2.510554
21,70.952952,1.487422,0.012909,2.999813,0.111073
24,60.686110,16.743206,1.430324,4.845381,1.158054
42,50.217084,2.881549,0.029074,6.207023,0.168253
42,183.010192,47.776157,48.380623,8.519662,6.296744
32,135.796845,35.336723,4.815747,21.996040,2.290145
32,65.580318,12.331573,0.454193,58.311035,0.703633
24,51.277841,13.328479,2.243333,2.917095,1.439217
42,137.681072,8.390180,1.282575,16.872559,1.114885
32,70.455737,4.205233,0.123803,2.975842,0.322475
32,168.860123,18.224329,6.013308,3.463377,2.286746
24,94.302359,32.021027,10.885387,7.313619,3.649500
42,114.136376,9.073419,2.156243,2.850215,1.420977
24,77.767493,47.023746,3.909212,18.760075,1.887784
32,83.491077,5.061816,0.177881,2.856848,0.433431
23,147.770579,20.503443,3.624308,4.290888,1.810376
32,49.197441,3.417006,0.021780,3.558494,0.171101
24,74.077005,13.973187,4.055351,2.921350,1.838888
32,69.990561,1.662269,0.056227,2.636792,0.586494
32,63.170336,2.209241,0.022705,4.278767,0.132738
24,32.334202,18.205389,1.599384,27.557413,1.240003
24,40.923868,4.487837,0.038099,2.239132,0.099977
24,168.778494,20.223257,11.953411,3.025119,3.762050
32,69.696794,7.032894,0.239066,3.843238,0.420344
21,175.983859,1.568246,0.365755,7.877428,0.725226
32,49.716271,7.800781,0.223179,7.685516,0.432728
42,78.889715,13.114094,0.760158,4.391519,0.892935
24,92.510200,21.224251,14.406816,13.121086,3.519546
24,33.873058,17.857851,0.439805,4.302056,0.610864
32,192.350694,34.714561,32.443779,2.232017,4.109076
32,69.421796,18.709568,4.038742,2.043656,1.819012
42,87.743547,26.386059,6.384614,47.611046,2.469882
42,61.774501,9.334222,0.716606,6.467037,0.889003
42,58.631113,14.707994,0.860967,4.637978,0.687930
32,63.688015,50.172634,15.309213,8.934095,3.832504
32,84.164733,5.871045,0.294002,4.541264,0.576751
32,41.808311,6.710628,0.549433,2.570393,0.794064
32,50.017666,5.640712,0.144420,4.844909,0.378559
23,224.952619,1.171562,0.256510,7.455807,0.495883
42,32.849112,4.064817,0.040247,4.840288,0.205440
32,37.520209,6.646061,0.070409,2.496613,0.270461
23,124.187471,9.994823,1.265059,3.007525,0.905012
32,78.722694,5.001484,0.366230,2.655339,0.518330
42,54.235297,32.350559,2.133618,12.424144,1.548996
32,58.164011,23.359684,2.884304,199.757004,1.680749
32,46.916371,16.402813,0.546615,10.028367,0.717076
42,84.154212,6.481478,0.335431,16.185947,0.571764
24,123.147542,12.546904,6.471307,3.861419,2.411734
32,233.137861,7.867231,1.972790,5.425576,1.363646
32,67.466596,6.182799,0.201953,2.503222,0.473163
32,91.039218,6.283298,0.297119,7.216690,0.521338
32,62.894904,9.391920,0.328951,4.033296,0.492342
24,39.024299,13.125470,0.320205,5.223495,0.533065
24,143.686493,15.031081,5.366908,7.609852,2.416340
42,119.360526,39.640827,6.365243,16.619753,2.644974
24,56.141455,5.260338,0.845994,2.669595,0.968611
23,92.709332,30.089926,4.583929,3.829715,1.972295
24,47.855692,5.042653,0.148714,2.624892,0.422011
42,33.709449,10.125002,0.127956,2.142313,0.245256
42,122.639983,8.081879,1.616557,2.827781,1.211579
24,87.267657,19.058170,4.678956,24.774548,1.851674
42,42.509412,4.302816,0.053601,9.180191,0.238110
42,52.717632,8.953003,0.206453,5.917740,0.472586
23,79.955327,34.278755,4.840983,15.934182,2.163636
42,316.779317,8.332129,23.764557,3.744468,5.755016
23,58.970542,8.888423,0.195804,2.759720,0.493014
32,31.094851,4.291401,0.025665,3.953984,0.181561
32,32.044038,19.739534,0.629637,2.184671,0.903158
32,45.931233,16.893337,0.704840,37.466473,0.849608
42,36.603032,3.229282,0.024439,3.370384,0.178168
42,50.909893,10.349133,0.812563,3.932015,0.831526
32,47.149057,9.977472,0.428966,13.595007,0.608464
42,118.062049,12.107341,2.730964,5.460562,1.632128
32,94.336732,11.577830,1.019170,13.856718,1.051537
42,44.890109,7.711474,0.235676,8.108356,0.488187
21,89.794807,27.330572,3.834776,12.312949,1.957279
42,88.983169,4.067989,0.250661,12.596262,0.454892
23,61.306016,39.507248,2.311821,9.463513,1.539511
24,48.130312,33.084408,1.886807,237.968079,1.412090
42,49.045413,2.401247,0.007806,2.278641,0.075419
21,45.662076,2.306296,0.006878,38.617771,0.079773
32,46.029387,17.468035,0.585193,7.945503,0.771699
42,75.592389,11.054434,0.499015,2.596986,0.751000
32,40.679063,1.781893,0.018004,7.379188,0.135399
32,40.489387,12.495934,0.469480,14.881235,0.559624
32,69.929185,11.441553,0.905463,16.826807,0.924470
24,200.797354,14.006805,5.484982,3.204677,2.598739
32,37.664487,4.753484,0.020575,2.788012,0.129401
32,69.120215,3.684281,0.024251,2.259447,0.254653
24,47.627935,20.400112,1.200378,25.765146,1.089683
42,144.351738,5.006249,0.800605,3.098580,0.835665
32,92.762916,10.229724,1.538221,4.043091,1.393418
32,85.321933,19.614725,4.179693,2.840919,1.833181
32,199.790845,34.570988,33.912430,3.935025,6.312745
21,122.907451,1.331266,0.061874,2.456155,0.313628
24,64.249688,40.603035,4.356925,3.024774,2.111613
32,91.910140,6.105634,0.358815,4.506571,0.674624
23,44.669706,9.009886,0.223270,3.126729,0.440204
23,59.186659,11.798364,0.445491,30.860796,0.662164
23,224.932267,7.960635,2.746252,7.835311,1.718585
42,64.407043,65.628220,13.889358,38.335270,3.731691
42,57.479357,19.780994,1.064692,10.423946,1.029661
42,106.280405,3.689615,0.102154,5.435390,0.313721
23,60.531107,28.589365,1.278569,4.510755,1.018048
32,301.314433,10.100263,4.809999,3.538643,2.388638
42,92.195010,4.177562,0.281447,3.990597,0.489848
32,90.081143,11.951048,0.977001,2.860198,0.835822
32,179.036462,15.457133,5.411734,14.709806,2.369104
42,60.505908,24.324736,3.808656,34.366615,1.945777
32,77.880438,7.713908,0.437830,3.206236,0.566797
23,50.098572,36.174999,2.026669,16.128004,1.408015
42,43.910442,7.230340,0.288283,2.974761,0.557917
32,62.820686,9.528097,0.330927,2.961058,0.409347
42,137.925593,19.017860,8.827039,5.854831,3.475704
32,54.432725,6.348160,0.110774,4.213205,0.321350
32,42.879606,5.774993,0.115232,5.079916,0.345057
42,90.407528,13.172432,2.069047,11.262167,1.440583
32,51.430106,8.372992,0.235906,4.184672,0.460259
42,33.462054,4.668836,0.035288,2.344379,0.228095
32,74.957849,2.503151,0.075794,3.742462,0.364975
42,140.987555,11.567104,0.483750,4.435910,0.826353
23,38.342793,31.629164,1.673875,8.520345,1.257205
32,112.430039,4.198938,0.398575,10.640550,0.613617
42,159.723311,7.952466,1.845843,2.099732,1.471707
24,222.562863,60.001595,42.785686,3.834813,5.885175
42,49.405874,13.192845,1.138034,3.572527,1.106090
32,106.175950,27.633751,3.021188,48.241768,1.767220
32,42.051449,7.022741,0.170789,7.225552,0.421047
32,33.457220,8.412446,0.130053,5.277938,0.402130
24,40.555811,10.370970,0.177234,5.393090,0.414433
32,77.138489,12.264455,2.225076,11.416554,1.460903
23,70.815673,2.548899,0.138301,4.349990,0.401865
24,67.847541,5.199716,0.259410,4.568711,0.528785
42,34.623792,17.894930,0.872466,27.350742,0.971854
42,113.003616,8.234444,1.026701,4.470336,1.130555
42,72.233001,11.852555,0.307755,6.720243,0.594024
24,68.540493,6.216149,0.450978,3.807817,0.680565
32,65.320012,6.272187,1.587954,3.782060,1.169714
32,179.706644,9.662432,1.086355,4.968464,0.975204
24,70.485764,4.730072,0.131603,3.444620,0.357820
32,39.285698,13.872271,0.367944,6.351842,0.634234
24,209.218270,23.841623,18.169338,7.381511,3.144027
32,129.198040,29.744337,5.241931,36.130692,2.460434
32,34.090307,6.601900,0.092359,4.149105,0.362194
32,45.657438,5.782575,0.035636,2.191719,0.230965
24,97.188037,17.160851,3.487632,7.150622,1.826777
23,159.490588,11.624013,9.507998,2.486083,3.393792
23,39.974599,4.863748,0.058742,17.624098,0.243057
42,194.608450,8.512465,2.802613,2.275006,1.598088
42,49.157285,11.772505,0.458817,7.368643,0.660534
42,99.713195,30.134764,3.719767,5.841113,1.413935
42,124.621754,14.505679,1.364184,13.610316,1.026791
42,83.485079,23.906080,1.582484,7.084282,1.174674
42,151.441086,3.370548,0.164759,2.504675,0.500319
21,62.890133,5.127392,0.305418,3.023253,0.551387
