dtag,nbin,pileup
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,76,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,77,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,78,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,79,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,80,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,81,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,82,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,83,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,84,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,85,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,86,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,87,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,88,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,89,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,90,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,91,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,92,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,93,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,94,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,95,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,96,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,97,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,98,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,99,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,100,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,101,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,102,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,0,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,1,0.168118
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,2,12.3556
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,3,37.1763
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,4,101.689
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,5,209.872
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,6,212.552
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,7,394.879
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,8,2434.75
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,9,10537.2
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,10,38124.4
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,11,123277
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,12,327459
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,13,700173
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,14,1.16396e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,15,1.66272e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,16,2.02632e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,17,2.25022e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,18,2.68455e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,19,2.84713e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,20,3.29076e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,21,3.06196e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,22,2.9106e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,23,2.91245e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,24,2.93111e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,25,2.69454e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,26,2.69062e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,27,2.17715e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,28,1.93923e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,29,1.44179e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,30,1.13839e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,31,854542
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,32,621387
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,33,587192
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,34,499920
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,35,590210
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,36,824836
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,37,1.52583e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,38,1.86729e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,39,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,40,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,41,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,42,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,43,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,44,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,45,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,46,0
