"","nbin","pu"
"1",1,0.00000776422656672442
"2",2,0.0000325844072804129
"3",3,0.000063981016312677
"4",4,0.0000908919918972546
"5",5,0.000130323189713772
"6",6,0.000177844850545033
"7",7,0.000224729607928753
"8",8,0.000586393770978917
"9",9,0.0015763658531794
"10",10,0.00369444806595848
"11",11,0.00848051536758348
"12",12,0.016011294376922
"13",13,0.0250677851687994
"14",14,0.0349722458833906
"15",15,0.0457553445674303
"16",16,0.0557191638044119
"17",17,0.0627913346635006
"18",18,0.0668550862809778
"19",19,0.0688238681552878
"20",20,0.0699178102522219
"21",21,0.0704533239444369
"22",22,0.0696007710792223
"23",23,0.0669323057231143
"24",24,0.0628217829801154
"25",25,0.0575222063882825
"26",26,0.0510263562436761
"27",27,0.0434918104322821
"28",28,0.0353577152937306
"29",29,0.0272404765943772
"30",30,0.0198000066643179
"31",31,0.013565572582359
"32",32,0.00878543799397135
"33",33,0.00540627126005321
"34",34,0.00317871008453448
"35",35,0.00179492512544117
"36",36,0.00097854297696393
"37",37,0.0005182994068217
"38",38,0.00026857895065613
"39",39,0.000137030922473997
"40",40,0.0000691358849255467
"41",41,0.0000345503640531813
"42",42,0.0000170977970397966
"43",43,0.00000837711665116165
"44",44,0.00000407690403465416
"45",45,0.000001994374155275
"46",46,0.00000100837918824473
"47",47,0.000000553487616022936
"48",48,0.000000349110353499897
"49",49,0.000000259125846997832
"50",50,0.000000219289090160012
"51",51,0.000000200505617810389
"52",52,0.000000189887002816103
"53",53,0.000000181964476392999
"54",54,0.000000174525042333505
"55",55,0.000000166742515386795
"56",56,0.00000015837111171875
"57",57,0.000000149406122826803
"58",58,0.00000013994454386388
"59",59,0.000000130125432605862
"60",60,0.000000120102286236507
"61",61,0.000000110028915839747
"62",62,0.000000100050657194886
"63",63,0.000000090299976174208
"64",64,0.000000080893015841089
"65",65,0.0000000719267713484565
"66",66,0.0000000634784621384471
"67",67,0.0000000556058458425774
"68",68,0.0000000483475321819157
"69",69,0.0000000417245524679382
"70",70,0.0000000357413013030429
"71",71,0.0000000303887383622969
"72",72,0.0000000256460206743266
"73",73,0.00000002148288826262
"74",74,0.0000000178620497868282
"75",75,0.0000000147413170639304
"76",76,0.0000000120755826393126
"77",77,0.00000000981851484769292
"78",78,0.00000000792412731397785
"79",79,0.00000000634781482382758
"80",80,0.00000000504735780420403
"81",81,0.00000000398358151373063
"82",82,0.00000000312066052585843
"83",83,0.00000000242653935509564
"84",84,0.00000000187281317494253
"85",85,0.000000001434721539888
"86",86,0.00000000109095690630511
"87",87,0.000000000823400956307206
"88",88,0.000000000616851504598863
"89",89,0.000000000458686625292648
"90",90,0.000000000338544473734388
"91",91,0.000000000248015036534969
"92",92,0.000000000180345379309502
"93",93,0.000000000130165297927615
"94",94,0.0000000000932496960837888
"95",95,0.0000000000663076443822538
"96",96,0.0000000000467993765371298
"97",97,0.0000000000327853033900364
"98",98,0.0000000000227970941097459
"99",99,0.0000000000157340577456416
"100",100,0.0000000000107786099115903
