"nbin","pileup","err","pileup_norm","err_norm","mc_pileup_average_norm","ratio"
0,NA,NA,NA,NA,0,NA
1,247462,29723.65,0.00000681271310406598,0.000000818302203391514,0.0000181361853707851,0.375642008767749
2,1070552,101859.5,0.0000294726610105149,0.00000280422671126722,0.0000251834395072763,1.17031912983925
3,2423186,184479,0.0000667111355108632,0.00000507876967261635,0.0000524101138121502,1.27286759479232
4,3472562,250924.5,0.0000956008140323831,0.00000690803690781293,0.0000885918705332137,1.07911497360857
5,4846736,310841.9,0.000133432292065644,0.0000085575833276332,0.000110734620827493,1.20497357618183
6,6387860,374790,0.000175859960434082,0.0000103180962906341,0.000142989100188599,1.22988367786165
7,7874337,395777.4,0.000216783178288916,0.0000108958865574236,0.00024377802097105,0.889264657352599
8,19666100,560660.2,0.000541414427976303,0.0000154351661728599,0.000719705405469332,0.752272282328125
9,51674550,856563.9,0.00142261795318761,0.0000235814957690468,0.00130384687111307,1.09109281519627
10,119752800,1388747,0.00329683535172508,0.0000382326776843811,0.00243814487048112,1.35219009815217
11,273056300,2415271,0.00751733289619324,0.0000664932328663413,0.00502286111472872,1.49662368209822
12,513699700,3518886,0.0141423276209873,0.0000968761295225704,0.00921290762563555,1.53505583640449
13,802975900,4519887,0.022106199885959,0.000124434027825676,0.0146744312393409,1.50644338614598
14,1119588000,5332299,0.0308226387839548,0.000146800006756989,0.0204535034659742,1.50696132988808
15,1463965000,6181013,0.0403034548310203,0.000170165392106676,0.0267515700163118,1.50658278398035
16,1780989000,6892659,0.0490312334762403,0.000189757248753984,0.0337555198842521,1.45253972222524
17,2005554000,7308155,0.0552135843754271,0.000201195995082256,0.0401372053508807,1.3756210451811
18,2135085000,7494517,0.0587796169019676,0.000206326604385907,0.0450096202771385,1.30593452111
19,2198369000,7509310,0.0605218469658874,0.000206733860711922,0.0490538544836091,1.23378371797695
20,2233909000,7528376,0.0615002752648525,0.000207258754182605,0.052504848074862,1.17132564934127
21,2252498000,7645063,0.0620120367631492,0.000210471187016633,0.0548215848392339,1.13116096415311
22,2229431000,7636540,0.0613769944003965,0.000210236545925128,0.0559753879440574,1.09649966985021
23,2153629000,7455882,0.0592901395349448,0.000205262969683304,0.0554469610305764,1.06931269871128
24,2040841000,7248039,0.0561850474982629,0.000199540981136826,0.0537679741695875,1.04495377343122
25,1904508000,7004900,0.0524317535961016,0.000192847281694449,0.0512391392476586,1.02327545633971
26,1749686000,6690858,0.048169451229687,0.000184201598524399,0.0476914654388726,1.01002245970879
27,1582814000,6346972,0.0435754082610627,0.000174734299874485,0.0435051779688265,1.0016142973208
