"nbin","pileup","err","pileup_norm","err_norm","mc_pileup_average_norm","ratio"
91,7.845319,7.845319,0.00000000021598430287025,0.00000000021598430287025,0,0
92,5.703294,5.703294,0.000000000157013625405682,0.000000000157013625405682,0,0
93,4.11531,4.11531,0.000000000113295885284584,0.000000000113295885284584,0,0
94,2.947409,2.947409,0.0000000000811431731633221,0.0000000000811431731633221,0,0
95,2.095266,2.095266,0.0000000000576833862762926,0.0000000000576833862762926,0,0
96,1.478421,1.478421,0.0000000000407014334323101,0.0000000000407014334323101,0,0
97,1.035422,1.035422,0.0000000000285055201511271,0.0000000000285055201511271,0,0
98,0.719774,0.719774,0.000000000019815623254342,0.000000000019815623254342,0,0
99,0.4966314,0.4966314,0.0000000000136724315113861,0.0000000000136724315113861,0,0
100,0.3401192,0.3401192,0.00000000000936359736357275,0.00000000000936359736357275,0,0
101,NA,NA,NA,NA,0,NA
102,NA,NA,NA,NA,0,NA
