"nbin","pu"
1,0.00000749442837263457
2,0.0000256118178439173
3,0.0000626313628053225
4,0.0000783069074739587
5,0.000117214702969565
6,0.000159894981611917
7,0.000192447837595108
8,0.000370991343392484
9,0.00106052257413295
10,0.00241412365440704
11,0.00548443795119628
12,0.0112198264999493
13,0.0188226508653143
14,0.027394688965633
15,0.0367210416332255
16,0.0465829361728135
17,0.0550777642582709
18,0.060876661081231
19,0.0641647649380929
20,0.0657900456387777
21,0.0667513961754865
22,0.067217914547999
23,0.066464522847106
24,0.0641221373005022
25,0.0604978777949232
26,0.0558366178214177
27,0.0501346533584574
28,0.0434750737703297
29,0.0361726267169178
30,0.0287075731184049
31,0.0216305785550277
32,0.0154418617172052
33,0.0104567352850537
34,0.0067423016892636
35,0.00415960989849561
36,0.00246689842758496
37,0.00141255466360175
38,0.000784736512227669
39,0.000425394630442426
40,0.000226380661327753
41,0.000118893032792141
42,0.0000618326753157378
43,0.0000318812980460674
44,0.0000162916238968662
45,0.00000824961872126979
46,0.00000415058213077023
47,0.00000209477233522421
48,0.00000108434068816168
49,0.000000599139921639782
50,0.000000371762282110618
51,0.000000267436161509627
52,0.000000219769610699651
53,0.000000197251922127551
54,0.000000185274340714908
55,0.000000177276102634372
56,0.000000170429972199263
57,0.000000163580891102936
58,0.00000015630634977104
59,0.000000148501788070426
60,0.000000140201013045046
61,0.000000131498383073838
62,0.000000122513619666205
63,0.000000113374762684984
64,0.000000104208565002481
65,0.000000095134779518112
66,0.0000000862625179169037
67,0.0000000776875197383635
68,0.000000069490833995937
69,0.0000000617379402566446
70,0.0000000544786230810305
71,0.0000000477475370433952
72,0.0000000415650228721323
73,0.0000000359383316602341
74,0.0000000308632853969765
75,0.0000000263257805495396
76,0.0000000223036557687783
77,0.0000000187683932279245
78,0.0000000156868168222878
79,0.0000000130226585309021
80,0.0000000107379584111026
81,0.00000000879430136503734
82,0.00000000715382789808312
83,0.00000000578007223219208
84,0.00000000463858382814795
85,0.00000000369738881875646
86,0.00000000292726529925896
87,0.0000000023018983939964
88,0.00000000179790662402025
89,0.00000000139477692976563
90,0.00000000107472843839511
91,0.000000000822524437621152
92,0.000000000625251390014884
93,0.000000000472080368907662
94,0.000000000354023785790688
95,0.000000000263696010076224
96,0.000000000195087423784354
97,0.000000000143353763166053
98,0.000000000104626774145058
99,0.0000000000758455223882489
100,0.0000000000546097391651366
