"nbin","data_pileup","data_pileup_err","data_pileup_norm","data_pileup_err_norm","pileup_up","pileup_up_err","pileup_up_err_norm","pileup_up_norm","pileup_down","pileup_down_err","pileup_down_norm","pileup_down_err_norm","pileup_normalized_average","pileup_normalized_average_dev"
19,2049172000,7165880,0.0561219246278937,0.000196256330484962,1882658000,6764976,0.000185276527662873,0.0515615039900703,2198442000,7508742,0.0602100706641001,0.000205646492569964,0.0490538544836091,9.3587452103946e-05
20,2101582000,7167199,0.057557309295334,0.00019629245474324,1968697000,6862176,0.000187938603402511,0.053917906609028,2233922000,7527164,0.0611817830436681,0.000206151027109321,0.052504848074862,8.71791341828139e-05
21,2132787000,7190757,0.0584119396816624,0.00019693765207191,2012675000,6855170,0.000187746725803418,0.0551223589431616,2252526000,7643482,0.0616913021279264,0.000209336699053137,0.0548215848392339,0.000126740116867885
22,2149099000,7297997,0.0588586863844918,0.000199874699424253,2040380000,6883256,0.000188515934231642,0.0558811326917898,2229697000,7636031,0.0610660703941846,0.000209132633975906,0.0559753879440574,0.000162108272175029
23,2128986000,7293314,0.0583078393740696,0.00019974644324418,2054745000,6982184,0.000191225335762207,0.0562745557164801,2154207000,7456189,0.0589985797647148,0.000204207191536045,0.0554469610305764,0.000155167532168002
24,2062649000,7133207,0.0564910274548941,0.000195361495086388,2036917000,6979703,0.000191157387100581,0.0557862893966626,2041695000,7248661,0.0559171450620666,0.000198523495743853,0.0537679741695875,0.00010789478793011
25,1962884000,6944067,0.0537587024912006,0.000190181402432321,1978318000,6836839,0.000187244683515523,0.0541814028095533,1905633000,7006062,0.0521907321593388,0.000191879289104314,0.0512391392476586,0.000145772730016801
26,1841872000,6732134,0.0504444729667533,0.000184377063971634,1889436000,6663470,0.000182496520872465,0.0517471372139722,1751120000,6692485,0.0479589904765825,0.000183291164728672,0.0476914654388726,0.000117698724145885
27,1704136000,6456892,0.0466722130439418,0.000176838843276431,1781249000,6476265,0.000177369423250666,0.0487841537978798,1584640000,6348964,0.0433995012727921,0.000173882945778796,0.0435051779688265,0.000102369850256218
28,1554523000,6146656,0.0425746704709645,0.000168342220538632,1657942000,6234554,0.000170749536531494,0.0454070697111771,1413652000,6000207,0.0387165487260735,0.000164331325306389,0.039284454168414,0.00010210970713069
29,1399489000,5830381,0.0383286596613492,0.000159680204020894,1523136000,5954465,0.000163078568096932,0.0417150554914487,1242583000,5635091,0.0340313777829979,0.000154331670932704,0.0349916247884288,9.92170753660159e-05
30,1243533000,5505081,0.034057397474833,0.000150771014318198,1382240000,5665899,0.000155175434888246,0.0378562507238356,1073694000,5233574,0.0294059118282949,0.000143335080191243,0.030700463579901,6.42653690797836e-05
31,1088821000,5153604,0.0298202054758058,0.000141144899134876,1239666000,5372554,0.000147141416289028,0.0339514895458201,909831100,4792811,0.0249180987369218,0.000131263635333421,0.0272639648679511,9.1544959465469e-05
32,937304800,4766310,0.0256705388024836,0.000130537841905499,1097667000,5061701,0.000138627895405349,0.0300624762438364,755162200,4328539,0.0206820873258686,0.000118548335167502,0.0237111272264636,0.000107612951451345
33,792044100,4351271,0.0216921953267797,0.0001191709154222,957700800,4720796,0.000129291322051221,0.026229136476457,613944900,3861940,0.0168144830806835,0.000105769304034637,0.0208000109155453,8.83554073971819e-05
34,656717700,3924927,0.0179859285902812,0.000107494372001952,821924900,4351009,0.000119163739730919,0.0225105590133142,489176000,3413192,0.013397361189052,9.34791691161928e-05,0.0182570636182836,8.19402507961906e-05
