"nbin","pileup"
0,0
1,0.0000181361853707851
2,0.0000251834395072763
3,0.0000524101138121502
4,0.0000885918705332137
5,0.000110734620827493
6,0.000142989100188599
7,0.00024377802097105
8,0.000719705405469332
9,0.00130384687111307
10,0.00243814487048112
11,0.00502286111472872
12,0.00921290762563555
13,0.0146744312393409
14,0.0204535034659742
15,0.0267515700163118
16,0.0337555198842521
17,0.0401372053508807
18,0.0450096202771385
19,0.0490538544836091
20,0.052504848074862
21,0.0548215848392339
22,0.0559753879440574
23,0.0554469610305764
24,0.0537679741695875
25,0.0512391392476586
26,0.0476914654388726
27,0.0435051779688265
28,0.039284454168414
29,0.0349916247884288
30,0.030700463579901
31,0.0272639648679511
32,0.0237111272264636
33,0.0208000109155453
34,0.0182570636182836
35,0.0160857460199702
36,0.0142424480544213
37,0.0127993900684885
38,0.0115750252354707
39,0.010550837164912
40,0.00957742275072699
41,0.00890275850093659
42,0.00828307680551582
43,0.00763392845912128
44,0.00696899032047765
45,0.00620832179272203
46,0.00547774058230865
47,0.00484018291418648
48,0.00407281641516267
49,0.00337344084578009
50,0.00270882266126294
51,0.00212764947735988
52,0.00160394561279288
53,0.00117547865865733
54,0.000861309171274856
55,0.00056599015594087
56,0.000367008772565391
57,0.000244203441549255
58,0.000159268930605085
59,0.000100152989282999
60,0.0000663474317634276
61,0.0000366576394538968
62,0.0000263122754715286
63,0.0000211559498880688
64,0.000018001240951283
65,0.0000147495496750255
66,0.0000134672233635421
67,0.0000129638514209533
68,0.0000134511074322115
69,0.0000136266778738473
70,0.0000143786270006445
71,0.0000135103388326586
72,0.0000130522703888516
73,0.0000140017744744706
74,0.0000136933854453648
75,0.0000124330202635978
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
