"nbin","pu"
1,0.00000654007922974115
2,0.0000229382987403827
3,0.000063222299593687
4,0.0000855795455280032
5,0.000122592175728566
6,0.000164213675190545
7,0.000191737812950656
8,0.000353071489181575
9,0.000965734527559979
10,0.00215543863481568
11,0.00484612265384377
12,0.00986199097893975
13,0.0165083341375049
14,0.0240057719418802
15,0.0321660364798176
16,0.0407817679357744
17,0.0481844473465058
18,0.0532394881709309
19,0.0561219246278937
20,0.057557309295334
21,0.0584119396816624
22,0.0588586863844918
23,0.0583078393740696
24,0.0564910274548941
25,0.0537587024912006
26,0.0504444729667533
27,0.0466722130439418
28,0.0425746704709645
29,0.0383286596613492
30,0.034057397474833
31,0.0298202054758058
32,0.0256705388024836
33,0.0216921953267797
34,0.0179859285902812
35,0.0146377685551586
36,0.0116979824417635
37,0.00917774165642762
38,0.00705846096665095
39,0.0053063878812266
40,0.00388440944913669
41,0.00275714909387037
42,0.00189012471827646
43,0.0012472339741653
44,0.000790063546771414
45,0.000479456273827569
46,0.000278330426191856
47,0.000154405350234422
48,0.0000818145159343694
49,0.0000414101218839729
50,0.0000200434967772694
51,0.00000930691258269198
52,0.00000417785400207103
53,0.00000184605695744269
54,0.000000835039754646191
55,0.000000414980087261369
56,0.000000245828754545095
57,0.000000177914163028343
58,0.000000148846322601177
59,0.000000133924265171282
60,0.000000123838996697564
61,0.000000115259772926433
62,0.000000107079066276002
63,0.0000000989863286305668
64,0.0000000909466407867121
65,0.0000000830144767017654
66,0.0000000752676445772188
67,0.0000000677837061260697
68,0.0000000606311577622326
69,0.0000000538663631881612
70,0.0000000475324578904272
71,0.0000000416595408529937
72,0.0000000362652770846473
73,0.000000031356020511029
74,0.0000000269280518946299
75,0.0000000229691015859364
76,0.0000000194598174993539
77,0.0000000163753207294844
78,0.0000000136866625720066
79,0.0000000113621966429627
80,0.00000000936880858247094
81,0.00000000767297869401388
82,0.00000000624167478054134
83,0.0000000050430806549103
84,0.00000000404713841457324
85,0.0000000032259510394528
86,0.00000000255402258128605
87,0.00000000200839345842046
88,0.00000000156866346140678
89,0.00000000121693506064518
90,0.000000000937694544155692
91,0.000000000717647965791089
92,0.000000000545528336458867
93,0.000000000411887478281263
94,0.000000000308883770613716
95,0.000000000230073292127026
96,0.00000000017021268478682
97,0.000000000125075355599344
98,0.0000000000912862745447912
99,0.0000000000661747935583642
100,0.000000000047646691613913
