"","nbin","pu"
"1",1,0.00000730285332118436
"2",2,0.0000202318000554611
"3",3,0.0000607763863798148
"4",4,0.0000676972547276466
"5",5,0.000107006016547038
"6",6,0.000142296857700054
"7",7,0.000174454976333505
"8",8,0.000254994823891106
"9",9,0.000706610990192027
"10",10,0.00164520667485891
"11",11,0.00358147403399048
"12",12,0.00765008955877379
"13",13,0.0138323510841071
"14",14,0.0212475492339239
"15",15,0.0293167267522038
"16",16,0.0381131165210924
"17",17,0.0469880126930014
"18",18,0.0541807184859177
"19",19,0.0589582772782799
"20",20,0.061642750523502
"21",21,0.063005390649497
"22",22,0.0638582570909456
"23",23,0.0642663271586244
"24",24,0.0635964644475271
"25",25,0.061528804804604
"26",26,0.0583157238717118
"27",27,0.0541895076873754
"28",28,0.0491561203525839
"29",29,0.0432519742733763
"30",30,0.0366974272862992
"31",31,0.0298647648530964
"32",32,0.0232059402687247
"33",33,0.0171695794875892
"34",34,0.0120944120558684
"35",35,0.00813085887850978
"36",36,0.00523786182870379
"37",37,0.00324707630853034
"38",38,0.00194468929752836
"39",39,0.00112956933734002
"40",40,0.000639200954012016
"41",41,0.000354217374747249
"42",42,0.000193236872048498
"43",43,0.000104228628886406
"44",44,0.0000557335820434614
"45",45,0.0000295689140540293
"46",46,0.0000155591780505028
"47",47,0.00000811911901656272
"48",48,0.00000421084363837196
"49",49,0.00000218744704178993
"50",50,0.00000115873693017749
"51",51,0.000000646590161237522
"52",52,0.000000397253071884756
"53",53,0.000000278356521365663
"54",54,0.000000222239981258688
"55",55,0.000000195318657193764
"56",56,0.000000181427324289874
"57",57,0.000000172927224780126
"58",58,0.000000166347251888832
"59",59,0.00000016017126836454
"60",60,0.000000153779635504482
"61",61,0.000000146958273473153
"62",62,0.000000139673594964983
"63",63,0.000000131975510088249
"64",64,0.000000123951283057425
"65",65,0.000000115703559189533
"66",66,0.000000107339378402326
"67",67,0.0000000989645250133497
"68",68,0.0000000906778775390022
"69",69,0.0000000825704669943814
"70",70,0.0000000747220239927105
"71",71,0.0000000672003509452347
"72",72,0.0000000600616359612728
"73",73,0.0000000533491972480092
"74",74,0.0000000470934831104938
"75",75,0.0000000413142692520063
"76",76,0.0000000360200309739524
"77",77,0.000000031210140476228
"78",78,0.000000026875431877313
"79",79,0.0000000229997707145313
"80",80,0.0000000195614351042805
"81",81,0.0000000165343713422394
"82",82,0.0000000138894181135717
"83",83,0.0000000115955620931337
"84",84,0.00000000962075408561015
"85",85,0.00000000793297628569079
"86",86,0.00000000650093285818518
"87",87,0.00000000529448939809552
"88",88,0.00000000428530073072073
"89",89,0.00000000344709342170334
"90",90,0.00000000275570344503573
"91",91,0.00000000218938694411167
"92",92,0.00000000172871036670807
"93",93,0.00000000135653790898295
"94",94,0.00000000105791537245615
"95",95,0.00000000081993518698694
"96",96,0.000000000631563765745382
"97",97,0.000000000483462582182676
"98",98,0.000000000367806108000952
"99",99,0.000000000278086253420839
"100",100,0.000000000208953533755119
