"nbin","weight_nominal","weight_up","weight_down"
0,NA,NA,NA
1,0.360609416811339,0.351377216124927,0.37361294640242
2,0.910848525427002,0.717199649125846,1.1627791004568
3,1.20629960507795,1.14121536968772,1.26890787896295
4,0.965997726573782,0.84885826611733,1.10266790442705
5,1.10708082813183,1.00700929402897,1.23456697093644
6,1.14843491548622,1.03428595270903,1.26278991594152
7,0.786526251164482,0.717444379696992,0.909648777562084
8,0.490577792661333,0.344078389355127,0.759569490571151
9,0.740680941110478,0.499570875027422,1.09035651921682
10,0.884048630953726,0.606614916257104,1.34530547603283
11,0.964813189764159,0.632584599390169,1.48713160105
12,1.07045369167689,0.731450949466174,1.52535976889483
13,1.12497267309738,0.827511723989754,1.49730550773404
14,1.17367530613108,0.910682115553867,1.49792998045778
15,1.20239808206413,0.960170981598162,1.49767851097519
16,1.20815108390021,0.988896170761361,1.44431045398336
17,1.20049333094509,1.02468865580207,1.3681909492045
18,1.18284686347315,1.05296667126403,1.29912252494785
19,1.14408796655615,1.05112033565679,1.2274279217797
20,1.0962284704313,1.0269129153969,1.16525969099909
21,1.06549162803223,1.00548641752714,1.12531044676724
22,1.05151011089581,0.998316130432865,1.09094501417685
23,1.05159666626121,1.01492587998551,1.06405434433422
24,1.05064452078328,1.03753749807849,1.03997120824565
25,1.0491726301522,1.05742218946485,1.0185716022098
26,1.05772537082991,1.08503978097083,1.00560949501652
27,1.07279673875566,1.12134132247053,0.997570939806059
28,1.0837536468865,1.15585339474274,0.985543761409897
29,1.09536667397119,1.19214399856171,0.972557804582185
30,1.10934472980173,1.23308400947467,0.957832827239337
31,1.09375894592864,1.24528804633732,0.9139572640153
32,1.08263679568271,1.26786364716917,0.872252387173971
33,1.04289345879947,1.26101551498967,0.808388185417578
34,0.9851490341672,1.23297806722714,0.733817960498049
35,0.909983816540809,1.18042533075471,0.650440963845892
36,0.821346330143864,1.10534683838101,0.561688505024782
37,0.71704523475871,1.00275591661645,0.466564380334112
38,0.609800913869359,0.889094305531985,0.374428618658619
39,0.502935245638477,0.768791254270252,0.28845274688129
40,0.405579825620816,0.655054015673457,0.214909665968644
41,0.309696044611377,0.533361034358457,0.149991974352384
42,0.228191137503131,0.423095146361996,0.100014138338029
43,0.163380359253309,0.329177839117034,0.0642260884603397
44,0.113368437957202,0.250352385505809,0.0396553405911344
45,0.0772279997453792,0.188377378855567,0.0238687936736627
46,0.0508111733313502,0.137852651411779,0.0137921542898078
47,0.0319007262683943,0.0968577167707531,0.00756854010632403
48,0.0200879459309245,0.0686240187247059,0.00415483516246187
49,0.0122753366005436,0.0473889635126706,0.00221776872027937
50,0.00739933885813127,0.0323695027438475,0.00118249725637452
51,0.00437426967257811,0.0216752397914914,0.000641889697310868
52,0.00260473545284139,0.0145119352923332,0.000383647166012176
53,0.00157047254226743,0.00961177893634792,0.000273637590071334
54,0.000969500595715493,0.00615582219138384,0.000242902582071058
55,0.000733193118123283,0.00430085627914427,0.000291239677209452
56,0.000669817107713128,0.00305735512896403,0.000394091114279828
57,0.000728548958604492,0.00223567790438986,0.000542541231466254
58,0.000934559691182011,0.00189369737638594,0.000771067920964491
59,0.00133719688378802,0.00199585978316291,0.00113596447675107
60,0.00186652283903214,0.00236236592656064,0.00158061353194779
61,0.00314422244976771,0.00372472999463276,0.00261959852500539
62,0.00406954793369611,0.00474687312579969,0.00331800452823827
63,0.00467888840511915,0.00549508151576102,0.00372426930370732
64,0.00505224284441512,0.00603023110946686,0.00392086545082614
65,0.00562827194936864,0.0068545111910253,0.00425479965493548
66,0.0055889504870752,0.00695838760530896,0.00411256966391362
67,0.00522867039470319,0.00666224781277046,0.00374240422174387
68,0.00450752163476433,0.00588243140681038,0.00313603438166934
69,0.00395300774604375,0.00528714370892014,0.00267155793176928
70,0.00330577167682956,0.00453424615273565,0.00216878198028599
71,0.00308353042577215,0.00433985030329723,0.00196249821290853
72,0.00277846504893301,0.00401493171035719,0.00171433839159669
73,0.00223943190687725,0.00332436608713241,0.00133866519755926
74,0.00196650068765464,0.00300063798808221,0.00113810604240254
75,0.00184742734258922,0.00289925128977536,0.00103447940224886
76,Inf,Inf,Inf
77,Inf,Inf,Inf
78,Inf,Inf,Inf
79,Inf,Inf,Inf
80,Inf,Inf,Inf
81,Inf,Inf,Inf
82,Inf,Inf,Inf
83,Inf,Inf,Inf
84,Inf,Inf,Inf
85,Inf,Inf,Inf
86,Inf,Inf,Inf
87,Inf,Inf,Inf
88,Inf,Inf,Inf
89,Inf,Inf,Inf
90,Inf,Inf,Inf
91,Inf,Inf,Inf
92,Inf,Inf,Inf
93,Inf,Inf,Inf
94,Inf,Inf,Inf
95,Inf,Inf,Inf
96,Inf,Inf,Inf
97,Inf,Inf,Inf
98,Inf,Inf,Inf
99,Inf,Inf,Inf
100,Inf,Inf,Inf
101,NA,NA,NA
102,NA,NA,NA
