dtag,nbin,pileup
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,76,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,77,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,78,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,79,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,80,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,81,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,82,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,83,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,84,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,85,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,86,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,87,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,88,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,89,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,90,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,91,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,92,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,93,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,94,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,95,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,96,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,97,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,98,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,99,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,100,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,101,0
MC2016_Summer16_DYJetsToLL_10to50_amcatnlo_,102,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,0,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,1,856
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,2,1238
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,3,2648
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,4,4297
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,5,5340
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,6,6857
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,7,11754
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,8,35084
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,9,64031
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,10,120169
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,11,248604
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,12,454019
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,13,720149
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,14,1.0044e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,15,1.31651e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,16,1.66005e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,17,1.97163e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,18,2.21352e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,19,2.40987e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,20,2.57987e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,21,2.69616e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,22,2.75195e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,23,2.72229e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,24,2.63903e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,25,2.51817e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,26,2.34163e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,27,2.13898e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,28,1.93105e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,29,1.72155e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,30,1.51122e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,31,1.33637e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,32,1.16508e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,33,1.02272e+06
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,34,895938
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,35,790421
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,36,699222
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,37,628505
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,38,568985
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,39,518715
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,40,472407
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,41,438223
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,42,406730
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,43,374924
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,44,343199
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,45,304822
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,46,267979
