i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 0,0, 1003,11
109, 14.5,-0.975,0.03, 0,0, 786,21
121, 14.5,0,0.03, 0,0, 1218,21
133, 14.5,0.975,0.03, 0,0, 702,17
145, 14.5,2.25,0.03, 0,0, 919,11
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 0,0, 297,9
110, 31,-0.975,0.03, 0,0, 245,6
122, 31,0,0.03, 0,0, 351,10
134, 31,0.975,0.03, 0,0, 215,6
146, 31,2.25,0.03, 0,0, 301,12
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 0,0, 272,12
111, 35,-0.975,0.03, 0,0, 253,6
123, 35,0,0.03, 0,0, 286,10
135, 35,0.975,0.03, 0,0, 216,3
147, 35,2.25,0.03, 0,0, 238,10
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 0,0, 167,5
112, 38.5,-0.975,0.03, 0,0, 195,6
124, 38.5,0,0.03, 0,0, 228,2
136, 38.5,0.975,0.03, 0,0, 138,3
148, 38.5,2.25,0.03, 0,0, 154,3
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 0,0, 189,12
113, 41.5,-0.975,0.03, 0,0, 152,2
125, 41.5,0,0.03, 0,0, 222,5
137, 41.5,0.975,0.03, 0,0, 134,4
149, 41.5,2.25,0.03, 0,0, 197,7
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 0,0, 126,5
114, 44,-0.975,0.03, 0,0, 101,3
126, 44,0,0.03, 0,0, 133,3
138, 44,0.975,0.03, 0,0, 91,3
150, 44,2.25,0.03, 0,0, 115,2
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 0,0, 164,2
115, 46.5,-0.975,0.03, 0,0, 143,6
127, 46.5,0,0.03, 0,0, 219,3
139, 46.5,0.975,0.03, 0,0, 140,5
151, 46.5,2.25,0.03, 0,0, 156,4
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 0,0, 399,8
116, 52,-0.975,0.03, 0,0, 367,8
128, 52,0,0.03, 0,0, 520,11
140, 52,0.975,0.03, 0,0, 382,7
152, 52,2.25,0.03, 0,0, 398,12
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 0,0, 320,6
117, 59.5,-0.975,0.03, 0,0, 332,3
129, 59.5,0,0.03, 0,0, 451,10
141, 59.5,0.975,0.03, 0,0, 309,4
153, 59.5,2.25,0.03, 0,0, 351,10
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 6,0, 84546,301
118, 281.5,-0.975,0.03, 4,0, 103372,192
130, 281.5,0,0.03, 16,0, 168691,257
142, 281.5,0.975,0.03, 7,0, 104046,195
154, 281.5,2.25,0.03, 16,0, 82323,245
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 0,0, 913,11
193, 14.5,-0.975,0.065, 0,0, 822,14
205, 14.5,0,0.065, 0,0, 1147,18
217, 14.5,0.975,0.065, 0,0, 789,17
229, 14.5,2.25,0.065, 0,0, 836,14
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 0,0, 287,16
194, 31,-0.975,0.065, 0,0, 289,8
206, 31,0,0.065, 0,0, 409,13
218, 31,0.975,0.065, 0,0, 254,5
230, 31,2.25,0.065, 0,0, 278,7
242, 31,3.6,0.065, 0,0, 0,0
183, 35,-2.25,0.065, 0,0, 275,5
