i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 0,0, 2311,42
109, 14.5,-0.975,0.03, 0,0, 1247,40
121, 14.5,0,0.03, 0,0, 1646,55
133, 14.5,0.975,0.03, 0,0, 1100,53
145, 14.5,2.25,0.03, 0,0, 2040,39
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 0,0, 678,40
110, 31,-0.975,0.03, 0,0, 388,14
122, 31,0,0.03, 0,0, 489,24
134, 31,0.975,0.03, 0,0, 364,23
146, 31,2.25,0.03, 1,0, 636,31
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 0,0, 650,32
111, 35,-0.975,0.03, 0,0, 306,13
123, 35,0,0.03, 0,0, 445,24
135, 35,0.975,0.03, 0,0, 322,24
147, 35,2.25,0.03, 0,0, 599,29
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 0,0, 471,27
112, 38.5,-0.975,0.03, 0,0, 257,8
124, 38.5,0,0.03, 0,0, 352,27
136, 38.5,0.975,0.03, 0,0, 204,10
148, 38.5,2.25,0.03, 0,0, 371,18
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 0,0, 401,21
113, 41.5,-0.975,0.03, 0,0, 256,16
125, 41.5,0,0.03, 0,0, 329,13
137, 41.5,0.975,0.03, 0,0, 233,14
149, 41.5,2.25,0.03, 0,0, 365,9
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 0,0, 295,16
114, 44,-0.975,0.03, 0,0, 149,9
126, 44,0,0.03, 0,0, 219,13
138, 44,0.975,0.03, 0,0, 142,8
150, 44,2.25,0.03, 0,0, 263,21
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 0,0, 349,17
115, 46.5,-0.975,0.03, 0,0, 259,12
127, 46.5,0,0.03, 0,0, 296,18
139, 46.5,0.975,0.03, 0,0, 229,15
151, 46.5,2.25,0.03, 0,0, 368,21
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 0,0, 1072,41
116, 52,-0.975,0.03, 0,0, 607,20
128, 52,0,0.03, 0,0, 866,42
140, 52,0.975,0.03, 0,0, 596,27
152, 52,2.25,0.03, 0,0, 1022,41
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 0,0, 985,45
117, 59.5,-0.975,0.03, 0,0, 536,29
129, 59.5,0,0.03, 0,0, 688,38
141, 59.5,0.975,0.03, 0,0, 488,16
153, 59.5,2.25,0.03, 1,0, 879,29
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 5,0, 63211,749
118, 281.5,-0.975,0.03, 0,0, 40693,610
130, 281.5,0,0.03, 2,0, 61249,713
142, 281.5,0.975,0.03, 1,0, 39463,549
154, 281.5,2.25,0.03, 2,0, 60962,670
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 0,0, 2113,44
193, 14.5,-0.975,0.065, 0,0, 1434,45
205, 14.5,0,0.065, 0,0, 1729,48
217, 14.5,0.975,0.065, 0,0, 1314,34
229, 14.5,2.25,0.065, 0,0, 1931,26
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 0,0, 721,21
194, 31,-0.975,0.065, 0,0, 494,29
206, 31,0,0.065, 0,0, 602,26
218, 31,0.975,0.065, 0,0, 444,15
230, 31,2.25,0.065, 0,0, 683,29
242, 31,3.6,0.065, 0,0, 0,0
183, 35,-2.25,0.065, 0,0, 691,32
195, 35,-0.975,0.065, 0,0, 433,24
207, 35,0,0.065, 0,0, 575,33
219, 35,0.975,0.065, 0,0, 495,28
231, 35,2.25,0.065, 0,0, 664,22
243, 35,3.6,0.065, 0,0, 0,0
184, 38.5,-2.25,0.065, 0,0, 461,15
196, 38.5,-0.975,0.065, 0,0, 330,11
208, 38.5,0,0.065, 1,0, 438,23
220, 38.5,0.975,0.065, 0,0, 283,16
232, 38.5,2.25,0.065, 0,0, 471,16
244, 38.5,3.6,0.065, 0,0, 0,0
