i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
248, 52,3.6,0.065, 0,0, 0,0
189, 59.5,-2.25,0.065, 424,26, 12855,911
201, 59.5,-0.975,0.065, 425,32, 11212,1512
213, 59.5,0,0.065, 402,42, 9520,1515
225, 59.5,0.975,0.065, 377,39, 11291,1405
237, 59.5,2.25,0.065, 364,17, 13094,850
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 2017,47, 38390,2166
202, 281.5,-0.975,0.065, 2374,101, 38955,3879
214, 281.5,0,0.065, 2543,102, 38448,3855
226, 281.5,0.975,0.065, 2184,87, 38782,3729
238, 281.5,2.25,0.065, 1862,54, 39845,2159
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 1006,35, 22217,561
277, 14.5,-0.975,0.075, 1003,125, 31000,1746
289, 14.5,0,0.075, 1154,152, 32559,2298
301, 14.5,0.975,0.075, 963,116, 31266,1741
313, 14.5,2.25,0.075, 1013,44, 22859,622
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 467,41, 14839,797
278, 31,-0.975,0.075, 496,88, 17073,1393
290, 31,0,0.075, 626,136, 16273,1755
302, 31,0.975,0.075, 534,132, 17061,1441
314, 31,2.25,0.075, 476,43, 15236,803
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 452,59, 13245,922
279, 35,-0.975,0.075, 568,113, 13387,1614
291, 35,0,0.075, 669,106, 12839,1842
303, 35,0.975,0.075, 582,107, 13143,1566
315, 35,2.25,0.075, 466,33, 13236,947
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 356,45, 9138,809
280, 38.5,-0.975,0.075, 497,84, 9484,1345
292, 38.5,0,0.075, 543,83, 10001,1542
304, 38.5,0.975,0.075, 496,70, 9781,1421
316, 38.5,2.25,0.075, 315,27, 9175,861
328, 38.5,3.6,0.075, 0,0, 0,0
269, 41.5,-2.25,0.075, 329,37, 9056,960
281, 41.5,-0.975,0.075, 453,71, 10632,1693
293, 41.5,0,0.075, 550,79, 10637,1814
305, 41.5,0.975,0.075, 510,68, 10995,1752
317, 41.5,2.25,0.075, 347,33, 9233,949
329, 41.5,3.6,0.075, 0,0, 0,0
270, 44,-2.25,0.075, 223,27, 6301,664
282, 44,-0.975,0.075, 349,50, 7646,1162
294, 44,0,0.075, 346,36, 7255,1188
306, 44,0.975,0.075, 305,43, 7642,1155
318, 44,2.25,0.075, 220,30, 6474,707
330, 44,3.6,0.075, 0,0, 0,0
271, 46.5,-2.25,0.075, 336,34, 9793,992
283, 46.5,-0.975,0.075, 475,53, 11258,1597
295, 46.5,0,0.075, 599,69, 10598,1713
307, 46.5,0.975,0.075, 564,57, 11431,1578
319, 46.5,2.25,0.075, 320,25, 9990,992
331, 46.5,3.6,0.075, 0,0, 0,0
272, 52,-2.25,0.075, 861,49, 24823,2095
284, 52,-0.975,0.075, 1131,83, 25944,3189
296, 52,0,0.075, 1191,82, 22057,3111
308, 52,0.975,0.075, 1147,81, 25680,3152
320, 52,2.25,0.075, 821,52, 25428,2012
332, 52,3.6,0.075, 0,0, 0,0
273, 59.5,-2.25,0.075, 547,31, 16088,1124
285, 59.5,-0.975,0.075, 620,43, 14813,1790
297, 59.5,0,0.075, 610,35, 12394,1644
309, 59.5,0.975,0.075, 593,45, 14939,1752
321, 59.5,2.25,0.075, 578,19, 16184,999
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 3013,44, 47125,2260
286, 281.5,-0.975,0.075, 3756,94, 51789,3848
298, 281.5,0,0.075, 4006,80, 50397,3502
310, 281.5,0.975,0.075, 3735,99, 52058,3784
322, 281.5,2.25,0.075, 2858,49, 47598,2169
334, 281.5,3.6,0.075, 0,0, 0,0
349, 14.5,-2.25,0.0835, 971,21, 18605,459
361, 14.5,-0.975,0.0835, 993,108, 26684,1409
373, 14.5,0,0.0835, 1119,128, 27349,1866
385, 14.5,0.975,0.0835, 971,112, 27145,1455
397, 14.5,2.25,0.0835, 948,35, 18898,505
409, 14.5,3.6,0.0835, 0,0, 0,0
350, 31,-2.25,0.0835, 390,27, 12111,664
362, 31,-0.975,0.0835, 530,87, 14874,1149
374, 31,0,0.0835, 581,108, 13534,1341
386, 31,0.975,0.0835, 484,90, 14679,1173
398, 31,2.25,0.0835, 445,49, 12427,647
410, 31,3.6,0.0835, 0,0, 0,0
351, 35,-2.25,0.0835, 441,42, 11121,719
363, 35,-0.975,0.0835, 593,83, 12037,1272
375, 35,0,0.0835, 655,86, 10963,1408
387, 35,0.975,0.0835, 576,76, 11779,1275
399, 35,2.25,0.0835, 444,44, 11089,757
411, 35,3.6,0.0835, 0,0, 0,0
352, 38.5,-2.25,0.0835, 314,31, 7820,669
364, 38.5,-0.975,0.0835, 439,65, 8174,1067
376, 38.5,0,0.0835, 517,62, 8509,1288
388, 38.5,0.975,0.0835, 459,61, 8408,1150
400, 38.5,2.25,0.0835, 333,35, 7854,668
412, 38.5,3.6,0.0835, 0,0, 0,0
353, 41.5,-2.25,0.0835, 336,31, 7483,695
365, 41.5,-0.975,0.0835, 447,52, 9098,1361
377, 41.5,0,0.0835, 520,54, 8818,1364
389, 41.5,0.975,0.0835, 439,61, 9293,1351
401, 41.5,2.25,0.0835, 345,30, 7572,740
413, 41.5,3.6,0.0835, 0,0, 0,0
354, 44,-2.25,0.0835, 190,16, 5071,490
366, 44,-0.975,0.0835, 305,41, 6159,886
378, 44,0,0.0835, 324,41, 6233,936
390, 44,0.975,0.0835, 304,35, 6498,927
402, 44,2.25,0.0835, 204,14, 5396,501
414, 44,3.6,0.0835, 0,0, 0,0
355, 46.5,-2.25,0.0835, 318,25, 7723,740
367, 46.5,-0.975,0.0835, 486,39, 9247,1267
379, 46.5,0,0.0835, 476,41, 8593,1200
391, 46.5,0.975,0.0835, 469,46, 9593,1336
403, 46.5,2.25,0.0835, 320,22, 8140,735
415, 46.5,3.6,0.0835, 0,0, 0,0
356, 52,-2.25,0.0835, 785,54, 19193,1545
368, 52,-0.975,0.0835, 1068,70, 21297,2484
380, 52,0,0.0835, 1038,63, 18417,2297
392, 52,0.975,0.0835, 1064,64, 21689,2508
404, 52,2.25,0.0835, 768,44, 20090,1484
416, 52,3.6,0.0835, 0,0, 0,0
357, 59.5,-2.25,0.0835, 541,20, 12750,832
369, 59.5,-0.975,0.0835, 650,33, 12418,1316
381, 59.5,0,0.0835, 603,32, 10440,1135
393, 59.5,0.975,0.0835, 612,26, 12323,1310
405, 59.5,2.25,0.0835, 533,18, 12898,767
417, 59.5,3.6,0.0835, 0,0, 0,0
358, 281.5,-2.25,0.0835, 2841,28, 37594,1495
370, 281.5,-0.975,0.0835, 3628,70, 43932,2470
382, 281.5,0,0.0835, 3813,50, 42396,2180
394, 281.5,0.975,0.0835, 3556,47, 43499,2377
406, 281.5,2.25,0.0835, 2805,39, 37591,1325
418, 281.5,3.6,0.0835, 0,0, 0,0
433, 14.5,-2.25,0.09, 1095,26, 18190,402
445, 14.5,-0.975,0.09, 1103,84, 25902,1238
457, 14.5,0,0.09, 1267,108, 26449,1679
469, 14.5,0.975,0.09, 1058,95, 26191,1359
481, 14.5,2.25,0.09, 1051,41, 18372,435
493, 14.5,3.6,0.09, 0,0, 0,0
434, 31,-2.25,0.09, 475,30, 11101,572
446, 31,-0.975,0.09, 498,77, 14204,1094
458, 31,0,0.09, 644,104, 13224,1303
470, 31,0.975,0.09, 554,71, 14343,1093
482, 31,2.25,0.09, 516,47, 11447,605
494, 31,3.6,0.09, 0,0, 0,0
435, 35,-2.25,0.09, 503,44, 10514,675
447, 35,-0.975,0.09, 641,84, 11736,1158
459, 35,0,0.09, 677,91, 10869,1348
471, 35,0.975,0.09, 601,73, 11612,1184
483, 35,2.25,0.09, 462,39, 10478,683
495, 35,3.6,0.09, 0,0, 0,0
436, 38.5,-2.25,0.09, 357,32, 7587,578
448, 38.5,-0.975,0.09, 480,57, 8120,992
460, 38.5,0,0.09, 558,49, 8114,1008
472, 38.5,0.975,0.09, 514,68, 8157,1021
484, 38.5,2.25,0.09, 374,33, 7416,539
496, 38.5,3.6,0.09, 0,0, 0,0
437, 41.5,-2.25,0.09, 352,21, 7177,654
449, 41.5,-0.975,0.09, 488,52, 8585,1138
461, 41.5,0,0.09, 539,56, 8310,1176
473, 41.5,0.975,0.09, 456,47, 8728,1165
485, 41.5,2.25,0.09, 311,19, 7233,616
497, 41.5,3.6,0.09, 0,0, 0,0
438, 44,-2.25,0.09, 251,20, 4882,460
450, 44,-0.975,0.09, 343,26, 6116,813
462, 44,0,0.09, 359,30, 5798,805
474, 44,0.975,0.09, 346,28, 6103,813
486, 44,2.25,0.09, 238,16, 4925,437
498, 44,3.6,0.09, 0,0, 0,0
439, 46.5,-2.25,0.09, 315,23, 7323,658
451, 46.5,-0.975,0.09, 508,38, 8876,1081
463, 46.5,0,0.09, 455,23, 8011,1050
475, 46.5,0.975,0.09, 469,33, 8827,1113
487, 46.5,2.25,0.09, 294,16, 7481,613
499, 46.5,3.6,0.09, 0,0, 0,0
440, 52,-2.25,0.09, 800,36, 17685,1342
452, 52,-0.975,0.09, 1099,60, 19947,2132
464, 52,0,0.09, 1159,61, 17376,2004
476, 52,0.975,0.09, 1053,77, 20220,2182
488, 52,2.25,0.09, 799,29, 18144,1283
500, 52,3.6,0.09, 0,0, 0,0
441, 59.5,-2.25,0.09, 541,21, 11674,691
453, 59.5,-0.975,0.09, 657,30, 11736,1114
465, 59.5,0,0.09, 704,18, 9906,929
477, 59.5,0.975,0.09, 707,25, 11882,1048
489, 59.5,2.25,0.09, 530,15, 11755,666
501, 59.5,3.6,0.09, 0,0, 0,0
442, 281.5,-2.25,0.09, 2914,36, 34437,1128
454, 281.5,-0.975,0.09, 3870,33, 42032,1834
466, 281.5,0,0.09, 3846,43, 40317,1609
478, 281.5,0.975,0.09, 3669,40, 41905,1855
490, 281.5,2.25,0.09, 2732,23, 34425,1117
502, 281.5,3.6,0.09, 0,0, 0,0
517, 14.5,-2.25,0.0965, 1620,39, 23293,402
529, 14.5,-0.975,0.0965, 1676,120, 33327,1608
541, 14.5,0,0.0965, 1851,183, 33739,2045
553, 14.5,0.975,0.0965, 1602,116, 33916,1668
565, 14.5,2.25,0.0965, 1517,36, 24137,502
577, 14.5,3.6,0.0965, 0,0, 0,0
518, 31,-2.25,0.0965, 697,45, 13951,729
530, 31,-0.975,0.0965, 834,119, 18469,1393
542, 31,0,0.0965, 921,111, 16793,1536
554, 31,0.975,0.0965, 831,112, 18522,1400
566, 31,2.25,0.0965, 623,29, 14334,717
578, 31,3.6,0.0965, 0,0, 0,0
519, 35,-2.25,0.0965, 644,54, 13187,776
531, 35,-0.975,0.0965, 907,87, 15423,1464
543, 35,0,0.0965, 1009,99, 14197,1499
555, 35,0.975,0.0965, 862,109, 15294,1500
567, 35,2.25,0.0965, 702,46, 13361,860
579, 35,3.6,0.0965, 0,0, 0,0
520, 38.5,-2.25,0.0965, 487,36, 9550,672
532, 38.5,-0.975,0.0965, 699,55, 10493,1188
544, 38.5,0,0.0965, 758,70, 10073,1199
