i_bin,x,y,z, hj_w_jets_bin,hj_w_tau_jets_bin, hj_q_jets_bin,hj_q_tau_jets_bin, hjm_w_jets_bin,hjm_w_tau_jets_bin, hjm_q_jets_bin,hjm_q_tau_jets_bin
223, 46.5,0.975,0.065, 0,0,0,0, 0,0,0,0
235, 46.5,2.25,0.065, 0,0,0,0, 0,0,0,0
188, 52,-2.25,0.065, 0,0,0,0, 0,0,0,0
200, 52,-0.975,0.065, 0,0,0,0, 0,0,0,0
212, 52,0,0.065, 0,0,0,0, 0,0,0,0
224, 52,0.975,0.065, 0,0,0,0, 0,0,0,0
236, 52,2.25,0.065, 0,0,0,0, 0,0,1,0
189, 59.5,-2.25,0.065, 0,0,0,0, 0,0,0,0
201, 59.5,-0.975,0.065, 0,0,0,0, 0,0,0,0
213, 59.5,0,0.065, 0,0,0,0, 0,0,0,0
225, 59.5,0.975,0.065, 0,0,0,0, 0,0,0,0
237, 59.5,2.25,0.065, 0,0,0,0, 0,0,0,0
190, 281.5,-2.25,0.065, 0,0,0,0, 0,0,0,0
202, 281.5,-0.975,0.065, 0,0,1,0, 1,0,1,0
214, 281.5,0,0.065, 0,0,4,0, 0,0,0,0
226, 281.5,0.975,0.065, 0,0,1,0, 0,0,0,0
238, 281.5,2.25,0.065, 0,0,0,0, 0,0,1,0
265, 14.5,-2.25,0.075, 0,0,0,0, 0,0,0,0
277, 14.5,-0.975,0.075, 0,0,0,0, 0,0,0,0
289, 14.5,0,0.075, 0,0,0,0, 0,0,0,0
301, 14.5,0.975,0.075, 0,0,0,0, 0,0,0,0
313, 14.5,2.25,0.075, 0,0,0,0, 0,0,0,0
266, 31,-2.25,0.075, 0,0,0,0, 0,0,0,0
278, 31,-0.975,0.075, 0,0,0,0, 0,0,0,0
290, 31,0,0.075, 0,0,0,0, 0,0,0,0
302, 31,0.975,0.075, 0,0,0,0, 0,0,0,0
314, 31,2.25,0.075, 0,0,0,0, 0,0,0,0
267, 35,-2.25,0.075, 0,0,0,0, 0,0,0,0
279, 35,-0.975,0.075, 0,0,0,0, 0,0,0,0
291, 35,0,0.075, 0,0,0,0, 0,0,0,0
303, 35,0.975,0.075, 0,0,0,0, 0,0,0,0
315, 35,2.25,0.075, 0,0,0,0, 0,0,1,0
268, 38.5,-2.25,0.075, 0,0,0,0, 0,0,0,0
280, 38.5,-0.975,0.075, 0,0,0,0, 0,0,0,0
292, 38.5,0,0.075, 0,0,0,0, 0,0,0,0
304, 38.5,0.975,0.075, 0,0,0,0, 0,0,0,0
316, 38.5,2.25,0.075, 0,0,0,0, 0,0,0,0
269, 41.5,-2.25,0.075, 0,0,0,0, 0,0,0,0
281, 41.5,-0.975,0.075, 0,0,0,0, 0,0,0,0
293, 41.5,0,0.075, 0,0,0,0, 0,0,0,0
305, 41.5,0.975,0.075, 0,0,0,0, 0,0,0,0
317, 41.5,2.25,0.075, 0,0,0,0, 0,0,1,0
270, 44,-2.25,0.075, 0,0,0,0, 0,0,0,0
282, 44,-0.975,0.075, 0,0,0,0, 0,0,0,0
294, 44,0,0.075, 0,0,0,0, 0,0,0,0
306, 44,0.975,0.075, 0,0,0,0, 0,0,0,0
318, 44,2.25,0.075, 0,0,0,0, 0,0,0,0
271, 46.5,-2.25,0.075, 0,0,0,0, 0,0,0,0
283, 46.5,-0.975,0.075, 0,0,0,0, 0,0,0,0
295, 46.5,0,0.075, 0,0,0,0, 0,0,0,0
307, 46.5,0.975,0.075, 0,0,0,0, 0,0,0,0
319, 46.5,2.25,0.075, 0,0,0,0, 0,0,0,0
272, 52,-2.25,0.075, 0,0,0,0, 0,0,0,0
284, 52,-0.975,0.075, 0,0,0,0, 0,0,0,0
296, 52,0,0.075, 0,0,0,0, 0,0,1,0
308, 52,0.975,0.075, 0,0,0,0, 0,0,0,0
320, 52,2.25,0.075, 0,0,0,0, 0,0,0,0
273, 59.5,-2.25,0.075, 0,0,0,0, 0,0,0,0
285, 59.5,-0.975,0.075, 0,0,0,0, 0,0,0,0
297, 59.5,0,0.075, 0,0,0,0, 0,0,0,0
309, 59.5,0.975,0.075, 0,0,0,0, 0,0,0,0
321, 59.5,2.25,0.075, 0,0,0,0, 0,0,0,0
274, 281.5,-2.25,0.075, 0,0,1,0, 0,0,0,0
286, 281.5,-0.975,0.075, 0,0,2,0, 0,0,0,0
298, 281.5,0,0.075, 0,0,4,0, 0,0,0,0
310, 281.5,0.975,0.075, 0,0,2,0, 0,0,1,0
322, 281.5,2.25,0.075, 0,0,1,0, 0,0,0,0
349, 14.5,-2.25,0.0835, 0,0,0,0, 0,0,0,0
