i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 0,0, 3469,64
109, 14.5,-0.975,0.03, 0,0, 1841,56
121, 14.5,0,0.03, 0,0, 2430,75
133, 14.5,0.975,0.03, 0,0, 1668,71
145, 14.5,2.25,0.03, 0,0, 3042,65
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 0,0, 996,59
110, 31,-0.975,0.03, 0,0, 568,24
122, 31,0,0.03, 0,0, 746,37
134, 31,0.975,0.03, 0,0, 543,37
146, 31,2.25,0.03, 1,0, 972,40
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 0,0, 941,52
111, 35,-0.975,0.03, 0,0, 475,26
123, 35,0,0.03, 0,0, 659,33
135, 35,0.975,0.03, 0,0, 472,32
147, 35,2.25,0.03, 0,0, 889,43
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 0,0, 687,40
112, 38.5,-0.975,0.03, 0,0, 366,15
124, 38.5,0,0.03, 0,0, 518,35
136, 38.5,0.975,0.03, 0,0, 323,21
148, 38.5,2.25,0.03, 0,0, 547,34
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 0,0, 610,31
113, 41.5,-0.975,0.03, 0,0, 371,24
125, 41.5,0,0.03, 0,0, 465,17
137, 41.5,0.975,0.03, 0,0, 348,23
149, 41.5,2.25,0.03, 0,0, 553,11
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 0,0, 430,21
114, 44,-0.975,0.03, 0,0, 238,12
126, 44,0,0.03, 0,0, 325,20
138, 44,0.975,0.03, 0,0, 227,9
150, 44,2.25,0.03, 0,0, 380,27
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 0,0, 534,25
115, 46.5,-0.975,0.03, 0,0, 372,19
127, 46.5,0,0.03, 0,0, 443,23
139, 46.5,0.975,0.03, 0,0, 328,22
151, 46.5,2.25,0.03, 1,0, 555,29
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 0,0, 1589,71
116, 52,-0.975,0.03, 0,0, 904,36
128, 52,0,0.03, 0,0, 1277,65
140, 52,0.975,0.03, 0,0, 910,41
152, 52,2.25,0.03, 1,0, 1518,71
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 0,0, 1434,76
117, 59.5,-0.975,0.03, 0,0, 831,44
129, 59.5,0,0.03, 0,0, 1064,58
141, 59.5,0.975,0.03, 0,0, 750,28
153, 59.5,2.25,0.03, 1,0, 1268,39
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 7,0, 94320,1121
118, 281.5,-0.975,0.03, 1,0, 60436,920
130, 281.5,0,0.03, 4,0, 91473,1046
