i_bin,x,y,z, hj_w_jets_bin,hj_w_tau_jets_bin, hj_q_jets_bin,hj_q_tau_jets_bin, hjm_w_jets_bin,hjm_w_tau_jets_bin, hjm_q_jets_bin,hjm_q_tau_jets_bin
154, 281.5,2.25,0.03, 0,0,561,17, 0,0,1,0
181, 14.5,-2.25,0.065, 0,0,0,0, 0,0,0,0
193, 14.5,-0.975,0.065, 0,0,0,0, 0,0,0,0
205, 14.5,0,0.065, 0,0,0,0, 0,0,0,0
217, 14.5,0.975,0.065, 0,0,0,0, 0,0,0,0
229, 14.5,2.25,0.065, 0,0,0,0, 0,0,0,0
182, 31,-2.25,0.065, 0,0,59,7, 0,0,0,0
194, 31,-0.975,0.065, 0,0,37,3, 0,0,0,0
206, 31,0,0.065, 0,0,38,1, 0,0,0,0
218, 31,0.975,0.065, 0,0,30,3, 0,0,0,0
230, 31,2.25,0.065, 0,0,71,1, 0,0,0,0
183, 35,-2.25,0.065, 0,0,68,5, 0,0,0,0
195, 35,-0.975,0.065, 0,0,41,6, 0,0,0,0
207, 35,0,0.065, 0,0,57,9, 0,0,0,0
219, 35,0.975,0.065, 0,0,45,6, 0,0,0,0
231, 35,2.25,0.065, 0,0,93,6, 0,0,0,0
184, 38.5,-2.25,0.065, 0,0,66,4, 0,0,0,0
196, 38.5,-0.975,0.065, 0,0,50,2, 0,0,0,0
208, 38.5,0,0.065, 0,0,66,5, 0,0,0,0
220, 38.5,0.975,0.065, 0,0,46,4, 0,0,0,0
232, 38.5,2.25,0.065, 0,0,80,5, 0,0,0,0
185, 41.5,-2.25,0.065, 0,0,63,8, 0,0,0,0
197, 41.5,-0.975,0.065, 0,0,62,6, 0,0,1,0
209, 41.5,0,0.065, 0,0,44,3, 0,0,0,0
221, 41.5,0.975,0.065, 0,0,60,3, 0,0,1,0
233, 41.5,2.25,0.065, 0,0,63,4, 0,0,0,0
186, 44,-2.25,0.065, 0,0,56,1, 0,0,0,0
198, 44,-0.975,0.065, 0,0,35,7, 0,0,1,0
210, 44,0,0.065, 0,0,42,2, 0,0,0,0
222, 44,0.975,0.065, 0,0,37,0, 0,0,0,0
234, 44,2.25,0.065, 0,0,65,3, 0,0,0,0
187, 46.5,-2.25,0.065, 0,0,74,3, 0,0,0,0
199, 46.5,-0.975,0.065, 0,0,54,3, 0,0,0,0
211, 46.5,0,0.065, 0,0,71,5, 0,0,0,0
223, 46.5,0.975,0.065, 0,0,44,3, 0,0,0,0
235, 46.5,2.25,0.065, 0,0,96,3, 0,0,0,0
188, 52,-2.25,0.065, 0,0,217,2, 0,0,0,0
200, 52,-0.975,0.065, 0,0,121,5, 0,0,0,0
212, 52,0,0.065, 0,0,149,5, 0,0,0,0
224, 52,0.975,0.065, 0,0,130,7, 0,0,0,0
236, 52,2.25,0.065, 0,0,214,7, 0,0,1,0
189, 59.5,-2.25,0.065, 0,0,160,6, 0,0,0,0
201, 59.5,-0.975,0.065, 0,0,99,1, 0,0,0,0
213, 59.5,0,0.065, 0,0,123,2, 0,0,0,0
225, 59.5,0.975,0.065, 0,0,106,4, 0,0,0,0
237, 59.5,2.25,0.065, 0,0,151,3, 0,0,0,0
190, 281.5,-2.25,0.065, 0,0,756,9, 0,0,0,0
202, 281.5,-0.975,0.065, 0,0,561,4, 1,0,1,0
214, 281.5,0,0.065, 0,0,713,12, 0,0,0,0
226, 281.5,0.975,0.065, 0,0,541,7, 0,0,0,0
238, 281.5,2.25,0.065, 0,0,708,6, 0,0,1,0
265, 14.5,-2.25,0.075, 0,0,0,0, 0,0,0,0
277, 14.5,-0.975,0.075, 0,0,0,0, 0,0,0,0
289, 14.5,0,0.075, 0,0,0,0, 0,0,0,0
301, 14.5,0.975,0.075, 0,0,0,0, 0,0,0,0
313, 14.5,2.25,0.075, 0,0,0,0, 0,0,0,0
266, 31,-2.25,0.075, 0,0,98,6, 0,0,0,0
278, 31,-0.975,0.075, 0,0,74,4, 0,0,0,0
290, 31,0,0.075, 0,0,95,6, 0,0,0,0
302, 31,0.975,0.075, 0,0,86,9, 0,0,0,0
314, 31,2.25,0.075, 0,0,126,9, 0,0,0,0
267, 35,-2.25,0.075, 0,0,147,8, 0,0,0,0
279, 35,-0.975,0.075, 0,0,128,8, 0,0,0,0
291, 35,0,0.075, 0,0,140,5, 0,0,0,0
303, 35,0.975,0.075, 0,0,104,7, 0,0,0,0
315, 35,2.25,0.075, 0,0,155,7, 0,0,1,0
268, 38.5,-2.25,0.075, 0,0,157,6, 0,0,0,0
280, 38.5,-0.975,0.075, 0,0,114,13, 0,0,0,0
292, 38.5,0,0.075, 0,0,115,7, 0,0,0,0
304, 38.5,0.975,0.075, 0,0,109,7, 0,0,0,0
316, 38.5,2.25,0.075, 0,0,118,7, 0,0,0,0
269, 41.5,-2.25,0.075, 0,0,148,6, 0,0,0,0
281, 41.5,-0.975,0.075, 0,0,137,6, 0,0,0,0
293, 41.5,0,0.075, 0,0,152,8, 0,0,0,0
305, 41.5,0.975,0.075, 0,0,118,11, 0,0,0,0
317, 41.5,2.25,0.075, 0,0,155,9, 0,0,1,0
270, 44,-2.25,0.075, 0,0,94,2, 0,0,0,0
282, 44,-0.975,0.075, 0,0,87,6, 0,0,0,0
294, 44,0,0.075, 0,0,103,4, 0,0,0,0
306, 44,0.975,0.075, 0,0,89,3, 0,0,0,0
318, 44,2.25,0.075, 0,0,110,7, 0,0,0,0
271, 46.5,-2.25,0.075, 0,0,179,12, 0,0,0,0
283, 46.5,-0.975,0.075, 0,0,130,9, 0,0,0,0
295, 46.5,0,0.075, 0,0,148,3, 0,0,0,0
307, 46.5,0.975,0.075, 0,0,128,4, 0,0,0,0
319, 46.5,2.25,0.075, 0,0,186,2, 0,0,0,0
272, 52,-2.25,0.075, 0,0,465,19, 0,0,0,0
284, 52,-0.975,0.075, 0,0,328,7, 0,0,0,0
296, 52,0,0.075, 0,0,393,17, 0,0,1,0
308, 52,0.975,0.075, 0,0,320,16, 0,0,0,0
320, 52,2.25,0.075, 0,0,430,13, 0,0,0,0
273, 59.5,-2.25,0.075, 0,0,281,9, 0,0,0,0
285, 59.5,-0.975,0.075, 1,0,206,8, 0,0,0,0
297, 59.5,0,0.075, 0,0,244,9, 0,0,0,0
309, 59.5,0.975,0.075, 0,0,238,8, 0,0,0,0
321, 59.5,2.25,0.075, 0,0,314,12, 0,0,0,0
274, 281.5,-2.25,0.075, 0,0,1396,21, 0,0,0,0
286, 281.5,-0.975,0.075, 0,0,1208,12, 0,0,0,0
298, 281.5,0,0.075, 0,0,1453,11, 0,0,0,0
310, 281.5,0.975,0.075, 0,0,1308,6, 0,0,1,0
322, 281.5,2.25,0.075, 0,0,1383,20, 0,0,0,0
349, 14.5,-2.25,0.0835, 0,0,0,0, 0,0,0,0
361, 14.5,-0.975,0.0835, 0,0,0,0, 0,0,0,0
373, 14.5,0,0.0835, 0,0,0,0, 0,0,0,0
385, 14.5,0.975,0.0835, 0,0,0,0, 0,0,0,0
397, 14.5,2.25,0.0835, 0,0,0,0, 0,0,0,0
350, 31,-2.25,0.0835, 0,0,115,4, 0,0,0,0
362, 31,-0.975,0.0835, 0,0,90,4, 0,0,0,0
374, 31,0,0.0835, 0,0,120,3, 0,0,0,0
386, 31,0.975,0.0835, 0,0,82,3, 0,0,0,0
398, 31,2.25,0.0835, 0,0,151,11, 0,0,0,0
351, 35,-2.25,0.0835, 0,0,201,5, 0,0,0,0
363, 35,-0.975,0.0835, 0,0,142,12, 0,0,0,0
375, 35,0,0.0835, 0,0,169,3, 0,0,0,0
387, 35,0.975,0.0835, 0,0,137,7, 0,0,0,0
399, 35,2.25,0.0835, 0,0,208,5, 0,0,0,0
352, 38.5,-2.25,0.0835, 0,0,163,8, 0,0,0,0
364, 38.5,-0.975,0.0835, 0,0,138,9, 0,0,0,0
376, 38.5,0,0.0835, 0,0,161,8, 0,0,0,0
388, 38.5,0.975,0.0835, 0,0,153,10, 0,0,0,0
400, 38.5,2.25,0.0835, 0,0,177,5, 0,0,0,0
353, 41.5,-2.25,0.0835, 0,0,165,3, 0,0,0,0
365, 41.5,-0.975,0.0835, 0,0,171,5, 0,0,0,0
377, 41.5,0,0.0835, 0,0,161,5, 0,0,0,0
389, 41.5,0.975,0.0835, 0,0,160,6, 0,0,0,0
401, 41.5,2.25,0.0835, 0,0,184,8, 0,0,0,0
354, 44,-2.25,0.0835, 0,0,124,5, 0,0,0,0
366, 44,-0.975,0.0835, 0,0,121,4, 0,0,0,0
378, 44,0,0.0835, 0,0,134,7, 0,0,0,0
390, 44,0.975,0.0835, 0,0,136,6, 0,0,0,0
402, 44,2.25,0.0835, 0,0,147,3, 0,0,0,0
355, 46.5,-2.25,0.0835, 0,0,188,3, 0,0,0,0
367, 46.5,-0.975,0.0835, 0,0,183,3, 0,0,0,0
379, 46.5,0,0.0835, 0,0,186,3, 0,0,0,0
391, 46.5,0.975,0.0835, 0,0,171,6, 0,0,0,0
403, 46.5,2.25,0.0835, 0,0,222,6, 0,0,0,0
356, 52,-2.25,0.0835, 0,0,512,12, 0,0,0,0
368, 52,-0.975,0.0835, 0,0,403,9, 0,0,0,0
380, 52,0,0.0835, 0,0,421,8, 0,0,0,0
392, 52,0.975,0.0835, 0,0,384,12, 0,0,0,0
404, 52,2.25,0.0835, 0,0,523,11, 0,0,0,0
357, 59.5,-2.25,0.0835, 0,0,355,1, 0,0,0,0
369, 59.5,-0.975,0.0835, 0,0,312,7, 0,0,0,0
381, 59.5,0,0.0835, 0,0,344,6, 0,0,0,0
393, 59.5,0.975,0.0835, 0,0,320,4, 0,0,0,0
405, 59.5,2.25,0.0835, 0,0,392,8, 0,0,0,0
358, 281.5,-2.25,0.0835, 0,0,1521,10, 1,0,1,0
370, 281.5,-0.975,0.0835, 0,0,1503,7, 0,0,1,0
382, 281.5,0,0.0835, 0,0,1630,7, 0,0,1,0
394, 281.5,0.975,0.0835, 0,0,1462,6, 0,0,1,0
406, 281.5,2.25,0.0835, 0,0,1423,16, 0,0,0,0
433, 14.5,-2.25,0.09, 0,0,0,0, 0,0,0,0
445, 14.5,-0.975,0.09, 0,0,0,0, 0,0,0,0
457, 14.5,0,0.09, 0,0,0,0, 0,0,0,0
469, 14.5,0.975,0.09, 0,0,0,0, 0,0,0,0
481, 14.5,2.25,0.09, 0,0,0,0, 0,0,0,0
434, 31,-2.25,0.09, 0,0,163,5, 0,0,0,0
446, 31,-0.975,0.09, 0,0,127,8, 0,0,0,0
458, 31,0,0.09, 0,0,156,6, 0,0,0,0
470, 31,0.975,0.09, 0,0,133,5, 0,0,0,0
482, 31,2.25,0.09, 0,0,171,7, 0,0,0,0
435, 35,-2.25,0.09, 0,0,245,6, 0,0,0,0
447, 35,-0.975,0.09, 0,0,200,8, 0,0,0,0
459, 35,0,0.09, 0,0,238,8, 0,0,0,0
471, 35,0.975,0.09, 0,0,216,12, 0,0,0,0
483, 35,2.25,0.09, 0,0,253,2, 0,0,0,0
436, 38.5,-2.25,0.09, 0,0,215,6, 0,0,0,0
448, 38.5,-0.975,0.09, 0,0,180,6, 0,0,0,0
460, 38.5,0,0.09, 0,0,189,11, 0,0,0,0
472, 38.5,0.975,0.09, 0,0,192,12, 2,1,1,1
484, 38.5,2.25,0.09, 0,0,208,5, 0,0,0,0
437, 41.5,-2.25,0.09, 0,0,218,9, 0,0,0,0
449, 41.5,-0.975,0.09, 0,0,213,5, 0,0,0,0
461, 41.5,0,0.09, 0,0,248,7, 0,0,0,0
473, 41.5,0.975,0.09, 0,0,238,9, 0,0,0,0
485, 41.5,2.25,0.09, 0,0,224,6, 0,0,0,0
438, 44,-2.25,0.09, 0,0,158,0, 0,0,0,0
450, 44,-0.975,0.09, 0,0,150,4, 0,0,0,0
462, 44,0,0.09, 0,0,178,7, 0,0,0,0
474, 44,0.975,0.09, 0,0,154,6, 1,0,1,0
486, 44,2.25,0.09, 0,0,172,3, 0,0,0,0
439, 46.5,-2.25,0.09, 0,0,275,10, 0,0,0,0
451, 46.5,-0.975,0.09, 0,0,261,9, 1,0,1,0
463, 46.5,0,0.09, 0,0,236,7, 0,0,0,0
475, 46.5,0.975,0.09, 0,0,251,8, 0,0,0,0
487, 46.5,2.25,0.09, 0,0,235,2, 0,0,0,0
440, 52,-2.25,0.09, 0,0,670,15, 0,0,0,0
452, 52,-0.975,0.09, 0,0,595,13, 0,0,0,0
464, 52,0,0.09, 0,0,599,6, 0,0,0,0
476, 52,0.975,0.09, 0,0,617,10, 0,0,0,0
488, 52,2.25,0.09, 0,0,609,9, 0,0,0,0
441, 59.5,-2.25,0.09, 0,0,448,10, 0,0,0,0
453, 59.5,-0.975,0.09, 0,0,384,7, 0,0,0,0
465, 59.5,0,0.09, 0,0,413,10, 0,0,0,0
477, 59.5,0.975,0.09, 0,0,399,3, 0,0,0,0
489, 59.5,2.25,0.09, 0,0,444,8, 0,0,1,0
442, 281.5,-2.25,0.09, 0,0,1694,20, 0,0,1,0
454, 281.5,-0.975,0.09, 0,0,1765,3, 1,0,0,0
466, 281.5,0,0.09, 0,0,1928,10, 0,0,1,0
478, 281.5,0.975,0.09, 0,0,1803,9, 1,0,1,0
490, 281.5,2.25,0.09, 0,0,1682,14, 0,0,0,0
517, 14.5,-2.25,0.0965, 0,0,0,0, 0,0,0,0
529, 14.5,-0.975,0.0965, 0,0,0,0, 0,0,0,0
541, 14.5,0,0.0965, 0,0,0,0, 0,0,0,0
553, 14.5,0.975,0.0965, 0,0,0,0, 0,0,0,0
565, 14.5,2.25,0.0965, 0,0,0,0, 0,0,0,0
518, 31,-2.25,0.0965, 0,0,258,10, 0,0,2,0
530, 31,-0.975,0.0965, 0,0,277,8, 0,0,0,0
542, 31,0,0.0965, 0,0,247,8, 0,0,0,0
554, 31,0.975,0.0965, 0,0,245,11, 0,0,0,0
566, 31,2.25,0.0965, 0,0,303,9, 0,0,0,0
519, 35,-2.25,0.0965, 0,0,378,15, 0,0,0,0
531, 35,-0.975,0.0965, 0,0,401,13, 0,0,0,0
543, 35,0,0.0965, 0,0,374,17, 0,0,0,0
555, 35,0.975,0.0965, 0,0,342,12, 0,0,0,0
567, 35,2.25,0.0965, 0,0,387,10, 0,0,0,0
520, 38.5,-2.25,0.0965, 0,0,326,4, 0,0,0,0
532, 38.5,-0.975,0.0965, 0,0,272,5, 0,0,0,0
544, 38.5,0,0.0965, 0,0,356,7, 0,0,0,0
556, 38.5,0.975,0.0965, 0,0,324,9, 0,0,1,0
568, 38.5,2.25,0.0965, 0,0,316,12, 0,0,0,0
521, 41.5,-2.25,0.0965, 0,0,394,11, 0,0,0,0
533, 41.5,-0.975,0.0965, 0,0,380,5, 0,0,0,0
545, 41.5,0,0.0965, 0,0,449,7, 0,0,0,0
557, 41.5,0.975,0.0965, 1,0,374,10, 0,0,0,0
569, 41.5,2.25,0.0965, 0,0,389,7, 0,0,0,0
522, 44,-2.25,0.0965, 0,0,246,7, 0,0,0,0
534, 44,-0.975,0.0965, 0,0,280,6, 0,0,0,0
546, 44,0,0.0965, 0,0,292,7, 0,0,0,0
558, 44,0.975,0.0965, 0,0,307,8, 0,0,0,0
570, 44,2.25,0.0965, 0,0,271,12, 0,0,0,0
523, 46.5,-2.25,0.0965, 0,0,421,9, 0,0,0,0
535, 46.5,-0.975,0.0965, 0,0,402,8, 0,0,1,0
547, 46.5,0,0.0965, 0,0,428,7, 0,0,0,0
559, 46.5,0.975,0.0965, 0,0,398,8, 0,0,0,0
571, 46.5,2.25,0.0965, 0,0,434,7, 0,0,0,0
524, 52,-2.25,0.0965, 0,0,1067,13, 0,0,0,0
536, 52,-0.975,0.0965, 0,0,980,19, 0,0,0,0
548, 52,0,0.0965, 0,0,988,6, 1,0,1,0
560, 52,0.975,0.0965, 0,0,1023,7, 0,0,0,0
572, 52,2.25,0.0965, 0,0,1038,19, 0,0,0,0
525, 59.5,-2.25,0.0965, 0,0,744,8, 0,0,0,0
537, 59.5,-0.975,0.0965, 0,0,702,9, 0,0,0,0
549, 59.5,0,0.0965, 0,0,738,8, 0,0,0,0
561, 59.5,0.975,0.0965, 0,0,686,8, 0,0,0,0
573, 59.5,2.25,0.0965, 0,0,721,9, 0,0,0,0
526, 281.5,-2.25,0.0965, 1,0,2631,12, 0,0,0,0
538, 281.5,-0.975,0.0965, 0,0,2801,6, 0,0,0,0
550, 281.5,0,0.0965, 0,0,3027,16, 1,0,0,0
562, 281.5,0.975,0.0965, 0,0,2743,11, 1,0,2,0
574, 281.5,2.25,0.0965, 0,0,2411,13, 0,0,0,0
601, 14.5,-2.25,0.1035, 0,0,0,0, 0,0,0,0
613, 14.5,-0.975,0.1035, 0,0,0,0, 0,0,0,0
625, 14.5,0,0.1035, 0,0,0,0, 0,0,0,0
637, 14.5,0.975,0.1035, 0,0,0,0, 0,0,0,0
649, 14.5,2.25,0.1035, 0,0,0,0, 0,0,0,0
602, 31,-2.25,0.1035, 0,0,433,10, 0,0,0,0
614, 31,-0.975,0.1035, 0,0,370,14, 0,0,0,0
626, 31,0,0.1035, 0,0,383,7, 0,0,0,0
638, 31,0.975,0.1035, 0,0,396,15, 0,0,0,0
650, 31,2.25,0.1035, 0,0,430,13, 0,0,0,0
603, 35,-2.25,0.1035, 0,0,578,22, 0,0,0,0
615, 35,-0.975,0.1035, 0,0,537,15, 0,0,0,0
627, 35,0,0.1035, 0,0,606,14, 0,0,0,0
639, 35,0.975,0.1035, 0,0,517,17, 0,0,0,0
651, 35,2.25,0.1035, 0,0,567,15, 0,0,0,0
604, 38.5,-2.25,0.1035, 0,0,431,2, 0,0,0,0
616, 38.5,-0.975,0.1035, 0,0,497,9, 0,0,0,0
628, 38.5,0,0.1035, 0,0,523,12, 0,0,0,0
640, 38.5,0.975,0.1035, 0,0,474,8, 0,0,0,0
652, 38.5,2.25,0.1035, 0,0,461,12, 0,0,0,0
605, 41.5,-2.25,0.1035, 0,0,532,9, 0,0,0,0
617, 41.5,-0.975,0.1035, 0,0,612,6, 0,0,0,0
629, 41.5,0,0.1035, 0,0,618,15, 0,0,0,0
641, 41.5,0.975,0.1035, 0,0,556,4, 0,0,0,0
653, 41.5,2.25,0.1035, 0,0,539,11, 0,0,0,0
606, 44,-2.25,0.1035, 0,0,363,4, 0,0,0,0
618, 44,-0.975,0.1035, 0,0,411,8, 0,0,0,0
630, 44,0,0.1035, 0,0,437,8, 0,0,0,0
642, 44,0.975,0.1035, 0,0,394,8, 0,0,0,0
654, 44,2.25,0.1035, 0,0,368,6, 0,0,0,0
607, 46.5,-2.25,0.1035, 0,0,563,11, 0,0,0,0
619, 46.5,-0.975,0.1035, 0,0,592,11, 0,0,0,0
631, 46.5,0,0.1035, 0,0,575,6, 0,0,0,0
643, 46.5,0.975,0.1035, 0,0,637,7, 0,0,0,0
655, 46.5,2.25,0.1035, 0,0,567,10, 0,0,0,0
608, 52,-2.25,0.1035, 0,0,1364,15, 0,0,0,0
620, 52,-0.975,0.1035, 0,0,1434,16, 0,0,0,0
632, 52,0,0.1035, 0,0,1484,11, 0,0,0,0
644, 52,0.975,0.1035, 0,0,1413,16, 1,0,1,0
656, 52,2.25,0.1035, 0,0,1365,20, 0,0,0,0
609, 59.5,-2.25,0.1035, 1,0,990,10, 0,0,1,0
621, 59.5,-0.975,0.1035, 0,0,989,11, 0,0,0,0
633, 59.5,0,0.1035, 0,0,990,9, 0,0,0,0
645, 59.5,0.975,0.1035, 1,0,1007,7, 0,0,0,0
657, 59.5,2.25,0.1035, 0,0,968,10, 0,0,1,0
610, 281.5,-2.25,0.1035, 0,0,3038,9, 1,0,1,0
622, 281.5,-0.975,0.1035, 0,0,3680,9, 1,0,0,0
634, 281.5,0,0.1035, 0,0,3650,9, 1,0,1,0
646, 281.5,0.975,0.1035, 0,0,3627,10, 0,0,0,0
658, 281.5,2.25,0.1035, 1,0,2973,7, 0,0,0,0
685, 14.5,-2.25,0.11, 0,0,0,0, 0,0,0,0
697, 14.5,-0.975,0.11, 0,0,0,0, 0,0,0,0
709, 14.5,0,0.11, 0,0,0,0, 0,0,0,0
721, 14.5,0.975,0.11, 0,0,0,0, 0,0,0,0
733, 14.5,2.25,0.11, 0,0,0,0, 0,0,0,0
686, 31,-2.25,0.11, 0,0,484,10, 0,0,0,0
698, 31,-0.975,0.11, 0,0,428,10, 0,0,0,0
710, 31,0,0.11, 0,0,443,7, 0,0,0,0
722, 31,0.975,0.11, 0,0,451,9, 1,0,1,0
734, 31,2.25,0.11, 0,0,480,10, 0,0,0,0
687, 35,-2.25,0.11, 0,0,626,16, 0,0,0,0
699, 35,-0.975,0.11, 0,0,628,8, 0,0,0,0
711, 35,0,0.11, 0,0,678,9, 0,0,0,0
723, 35,0.975,0.11, 0,0,601,10, 0,0,1,0
735, 35,2.25,0.11, 0,0,685,19, 0,0,0,0
688, 38.5,-2.25,0.11, 0,0,535,10, 0,0,0,0
700, 38.5,-0.975,0.11, 0,0,606,9, 0,0,1,0
712, 38.5,0,0.11, 0,0,599,8, 0,0,0,0
724, 38.5,0.975,0.11, 0,0,558,12, 0,0,0,0
736, 38.5,2.25,0.11, 0,0,529,12, 1,0,0,0
689, 41.5,-2.25,0.11, 0,0,593,7, 0,0,0,0
701, 41.5,-0.975,0.11, 0,0,687,12, 0,0,0,0
713, 41.5,0,0.11, 0,0,767,4, 0,0,1,0
725, 41.5,0.975,0.11, 0,0,634,14, 0,0,0,0
737, 41.5,2.25,0.11, 0,0,591,12, 1,1,0,0
690, 44,-2.25,0.11, 0,0,444,6, 0,0,0,0
702, 44,-0.975,0.11, 0,0,434,7, 0,0,0,0
714, 44,0,0.11, 0,0,500,5, 0,0,0,0
726, 44,0.975,0.11, 0,0,464,6, 0,0,0,0
738, 44,2.25,0.11, 0,0,408,8, 0,0,0,0
691, 46.5,-2.25,0.11, 0,0,643,6, 0,0,0,0
703, 46.5,-0.975,0.11, 0,0,732,9, 0,0,0,0
715, 46.5,0,0.11, 0,0,706,5, 0,0,0,0
727, 46.5,0.975,0.11, 0,0,688,7, 0,0,0,0
739, 46.5,2.25,0.11, 0,0,661,9, 0,0,0,0
692, 52,-2.25,0.11, 0,0,1532,20, 0,0,0,0
704, 52,-0.975,0.11, 0,0,1667,16, 0,0,0,0
716, 52,0,0.11, 0,0,1643,12, 0,0,1,0
728, 52,0.975,0.11, 0,0,1609,12, 0,0,0,0
740, 52,2.25,0.11, 0,0,1552,14, 0,0,0,0
693, 59.5,-2.25,0.11, 0,0,1028,8, 0,0,0,0
705, 59.5,-0.975,0.11, 0,0,1088,3, 0,0,0,0
717, 59.5,0,0.11, 0,0,1189,3, 1,0,1,0
729, 59.5,0.975,0.11, 0,0,1181,6, 0,0,0,0
741, 59.5,2.25,0.11, 0,0,1039,9, 0,0,0,0
694, 281.5,-2.25,0.11, 0,0,3008,6, 0,0,0,0
706, 281.5,-0.975,0.11, 0,0,3767,6, 1,0,2,0
718, 281.5,0,0.11, 1,0,3717,3, 1,0,1,0
730, 281.5,0.975,0.11, 0,0,3806,10, 0,0,0,0
742, 281.5,2.25,0.11, 0,0,2790,7, 1,0,1,0
769, 14.5,-2.25,0.1165, 0,0,0,0, 0,0,0,0
781, 14.5,-0.975,0.1165, 0,0,0,0, 0,0,0,0
793, 14.5,0,0.1165, 0,0,0,0, 0,0,0,0
805, 14.5,0.975,0.1165, 0,0,0,0, 0,0,0,0
817, 14.5,2.25,0.1165, 0,0,0,0, 0,0,0,0
770, 31,-2.25,0.1165, 0,0,798,9, 0,0,0,0
782, 31,-0.975,0.1165, 0,0,704,13, 0,0,1,0
794, 31,0,0.1165, 0,0,727,12, 0,0,0,0
806, 31,0.975,0.1165, 0,0,683,11, 0,0,0,0
818, 31,2.25,0.1165, 0,0,717,9, 0,0,0,0
771, 35,-2.25,0.1165, 0,0,961,22, 0,0,0,0
783, 35,-0.975,0.1165, 0,0,1017,21, 0,0,0,0
795, 35,0,0.1165, 0,0,1100,20, 0,0,0,0
807, 35,0.975,0.1165, 0,0,966,12, 0,0,0,0
819, 35,2.25,0.1165, 0,0,993,12, 0,0,1,0
772, 38.5,-2.25,0.1165, 0,0,798,11, 0,0,0,0
784, 38.5,-0.975,0.1165, 0,0,921,16, 0,0,0,0
796, 38.5,0,0.1165, 0,0,915,14, 0,0,0,0
808, 38.5,0.975,0.1165, 0,0,861,13, 0,0,0,0
820, 38.5,2.25,0.1165, 0,0,802,13, 0,0,0,0
