i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
213, 59.5,0,0.065, 0,0, 7678,294
225, 59.5,0.975,0.065, 0,0, 5761,253
237, 59.5,2.25,0.065, 0,0, 8714,278
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 0,0, 23998,513
202, 281.5,-0.975,0.065, 1,0, 16655,450
214, 281.5,0,0.065, 0,0, 20026,466
226, 281.5,0.975,0.065, 0,0, 16040,448
238, 281.5,2.25,0.065, 0,0, 22541,499
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 0,0, 15284,264
277, 14.5,-0.975,0.075, 0,0, 9338,410
289, 14.5,0,0.075, 0,0, 10677,484
301, 14.5,0.975,0.075, 0,0, 8653,392
313, 14.5,2.25,0.075, 0,0, 13931,284
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 0,0, 5630,304
278, 31,-0.975,0.075, 0,0, 3617,266
290, 31,0,0.075, 0,0, 4166,286
302, 31,0.975,0.075, 0,0, 3462,237
314, 31,2.25,0.075, 0,0, 5299,296
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 0,0, 5924,329
279, 35,-0.975,0.075, 0,0, 3942,289
291, 35,0,0.075, 0,0, 4798,294
303, 35,0.975,0.075, 0,0, 3806,278
315, 35,2.25,0.075, 0,0, 5593,281
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 0,0, 5219,271
280, 38.5,-0.975,0.075, 0,0, 3658,221
292, 38.5,0,0.075, 0,0, 4477,245
304, 38.5,0.975,0.075, 0,0, 3643,224
316, 38.5,2.25,0.075, 0,0, 5020,245
328, 38.5,3.6,0.075, 0,0, 0,0
269, 41.5,-2.25,0.075, 1,0, 6192,291
281, 41.5,-0.975,0.075, 0,0, 4618,228
293, 41.5,0,0.075, 0,0, 5626,249
305, 41.5,0.975,0.075, 0,0, 4570,266
317, 41.5,2.25,0.075, 0,0, 6239,273
329, 41.5,3.6,0.075, 0,0, 0,0
270, 44,-2.25,0.075, 0,0, 4760,191
282, 44,-0.975,0.075, 0,0, 3497,178
294, 44,0,0.075, 0,0, 4248,190
306, 44,0.975,0.075, 0,0, 3394,149
318, 44,2.25,0.075, 0,0, 4619,201
330, 44,3.6,0.075, 0,0, 0,0
271, 46.5,-2.25,0.075, 1,1, 7852,280
283, 46.5,-0.975,0.075, 0,0, 5781,247
295, 46.5,0,0.075, 0,0, 7231,268
307, 46.5,0.975,0.075, 0,0, 5620,252
319, 46.5,2.25,0.075, 0,0, 7548,273
331, 46.5,3.6,0.075, 0,0, 0,0
272, 52,-2.25,0.075, 0,0, 22493,726
284, 52,-0.975,0.075, 0,0, 16861,585
296, 52,0,0.075, 0,0, 20728,591
308, 52,0.975,0.075, 0,0, 16194,592
320, 52,2.25,0.075, 0,0, 21489,685
332, 52,3.6,0.075, 0,0, 0,0
273, 59.5,-2.25,0.075, 0,0, 18416,435
285, 59.5,-0.975,0.075, 0,0, 14321,367
297, 59.5,0,0.075, 0,0, 17095,368
309, 59.5,0.975,0.075, 1,0, 13729,399
321, 59.5,2.25,0.075, 0,0, 17551,374
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 1,0, 47287,762
286, 281.5,-0.975,0.075, 0,0, 38572,600
298, 281.5,0,0.075, 2,0, 43695,600
310, 281.5,0.975,0.075, 2,0, 37037,591
322, 281.5,2.25,0.075, 0,0, 44954,657
334, 281.5,3.6,0.075, 0,0, 0,0
