i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
293, 41.5,0,0.075, 1485,110, 7781,153
305, 41.5,0.975,0.075, 1265,87, 7718,152
317, 41.5,2.25,0.075, 1271,76, 7707,81
270, 44,-2.25,0.075, 782,43, 4898,55
282, 44,-0.975,0.075, 841,53, 5218,90
294, 44,0,0.075, 980,62, 4976,80
306, 44,0.975,0.075, 842,52, 4904,80
318, 44,2.25,0.075, 816,43, 4950,52
271, 46.5,-2.25,0.075, 1187,69, 7038,73
283, 46.5,-0.975,0.075, 1301,79, 7224,109
295, 46.5,0,0.075, 1499,79, 6827,132
307, 46.5,0.975,0.075, 1324,99, 6938,139
319, 46.5,2.25,0.075, 1288,57, 7010,68
272, 52,-2.25,0.075, 2972,110, 15687,138
284, 52,-0.975,0.075, 3275,158, 16374,247
296, 52,0,0.075, 3844,176, 15563,248
308, 52,0.975,0.075, 3296,137, 15565,251
320, 52,2.25,0.075, 3077,117, 15581,155
273, 59.5,-2.25,0.075, 2273,63, 10104,84
285, 59.5,-0.975,0.075, 2477,86, 11069,143
297, 59.5,0,0.075, 2910,85, 10741,125
309, 59.5,0.975,0.075, 2434,78, 10201,135
321, 59.5,2.25,0.075, 2306,66, 10132,92
274, 281.5,-2.25,0.075, 19439,195, 52123,282
286, 281.5,-0.975,0.075, 27804,272, 67025,480
298, 281.5,0,0.075, 35758,309, 75195,477
310, 281.5,0.975,0.075, 28450,253, 64502,413
322, 281.5,2.25,0.075, 19341,210, 52442,283
349, 14.5,-2.25,0.0835, 6672,111, 22109,145
361, 14.5,-0.975,0.0835, 5492,224, 40073,347
373, 14.5,0,0.0835, 6211,288, 43484,409
385, 14.5,0.975,0.0835, 5662,238, 41622,375
397, 14.5,2.25,0.0835, 6770,102, 24809,130
350, 31,-2.25,0.0835, 2268,109, 33412,152
362, 31,-0.975,0.0835, 1977,191, 31560,292
374, 31,0,0.0835, 2192,159, 19305,272
386, 31,0.975,0.0835, 1962,136, 29789,250
398, 31,2.25,0.0835, 2310,114, 34918,155
351, 35,-2.25,0.0835, 2011,121, 20979,155
363, 35,-0.975,0.0835, 1962,161, 14770,251
375, 35,0,0.0835, 2180,163, 12465,249
387, 35,0.975,0.0835, 2007,136, 13839,224
399, 35,2.25,0.0835, 2159,137, 18208,155
352, 38.5,-2.25,0.0835, 1371,69, 9051,102
364, 38.5,-0.975,0.0835, 1445,100, 9306,149
376, 38.5,0,0.0835, 1743,96, 8894,159
388, 38.5,0.975,0.0835, 1464,106, 8752,142
400, 38.5,2.25,0.0835, 1481,72, 8686,108
353, 41.5,-2.25,0.0835, 1407,51, 7830,91
365, 41.5,-0.975,0.0835, 1529,92, 8952,137
377, 41.5,0,0.0835, 1773,95, 8422,140
389, 41.5,0.975,0.0835, 1459,81, 8341,116
401, 41.5,2.25,0.0835, 1419,62, 7928,85
354, 44,-2.25,0.0835, 966,40, 4944,42
366, 44,-0.975,0.0835, 985,47, 5608,68
378, 44,0,0.0835, 1155,55, 5196,82
390, 44,0.975,0.0835, 1011,39, 5436,74
402, 44,2.25,0.0835, 913,31, 4999,42
355, 46.5,-2.25,0.0835, 1311,46, 6995,61
367, 46.5,-0.975,0.0835, 1557,79, 7909,106
379, 46.5,0,0.0835, 1754,95, 7390,122
391, 46.5,0.975,0.0835, 1516,59, 7652,115
403, 46.5,2.25,0.0835, 1374,55, 6890,71
356, 52,-2.25,0.0835, 3356,110, 15498,151
368, 52,-0.975,0.0835, 3945,129, 17622,213
380, 52,0,0.0835, 4387,137, 16502,220
392, 52,0.975,0.0835, 3929,123, 16725,197
404, 52,2.25,0.0835, 3339,76, 15498,132
357, 59.5,-2.25,0.0835, 2491,52, 10189,76
369, 59.5,-0.975,0.0835, 3016,71, 12021,111
381, 59.5,0,0.0835, 3535,75, 11461,122
393, 59.5,0.975,0.0835, 3115,82, 11370,116
405, 59.5,2.25,0.0835, 2722,48, 10156,76
358, 281.5,-2.25,0.0835, 19628,154, 47901,216
370, 281.5,-0.975,0.0835, 30019,200, 66607,330
382, 281.5,0,0.0835, 36124,229, 71924,374
394, 281.5,0.975,0.0835, 30327,186, 64579,312
406, 281.5,2.25,0.0835, 19127,147, 47409,197
