i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 3,0, 31156,78
202, 281.5,-0.975,0.065, 12,0, 56119,58
214, 281.5,0,0.065, 7,0, 81095,50
226, 281.5,0.975,0.065, 5,0, 55827,52
238, 281.5,2.25,0.065, 1,0, 30210,61
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 0,0, 1208,18
277, 14.5,-0.975,0.075, 1,0, 1310,18
289, 14.5,0,0.075, 0,0, 1843,27
301, 14.5,0.975,0.075, 0,0, 1269,20
313, 14.5,2.25,0.075, 0,0, 1090,22
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 0,0, 379,11
278, 31,-0.975,0.075, 0,0, 455,12
290, 31,0,0.075, 0,0, 650,12
302, 31,0.975,0.075, 0,0, 451,8
314, 31,2.25,0.075, 0,0, 355,11
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 0,0, 388,18
279, 35,-0.975,0.075, 0,0, 479,13
291, 35,0,0.075, 0,0, 631,10
303, 35,0.975,0.075, 0,0, 439,7
315, 35,2.25,0.075, 0,0, 315,6
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 0,0, 248,8
280, 38.5,-0.975,0.075, 0,0, 304,3
292, 38.5,0,0.075, 0,0, 462,8
304, 38.5,0.975,0.075, 0,0, 321,5
316, 38.5,2.25,0.075, 0,0, 245,5
328, 38.5,3.6,0.075, 0,0, 0,0
269, 41.5,-2.25,0.075, 0,0, 270,10
281, 41.5,-0.975,0.075, 0,0, 321,5
293, 41.5,0,0.075, 0,0, 460,6
305, 41.5,0.975,0.075, 0,0, 340,9
317, 41.5,2.25,0.075, 0,0, 242,4
329, 41.5,3.6,0.075, 0,0, 0,0
270, 44,-2.25,0.075, 0,0, 172,4
282, 44,-0.975,0.075, 0,0, 187,1
294, 44,0,0.075, 0,0, 333,3
306, 44,0.975,0.075, 0,0, 187,4
318, 44,2.25,0.075, 0,0, 146,6
330, 44,3.6,0.075, 0,0, 0,0
271, 46.5,-2.25,0.075, 0,0, 250,5
283, 46.5,-0.975,0.075, 0,0, 307,7
295, 46.5,0,0.075, 0,0, 465,2
307, 46.5,0.975,0.075, 0,0, 340,10
319, 46.5,2.25,0.075, 0,0, 254,3
331, 46.5,3.6,0.075, 0,0, 0,0
272, 52,-2.25,0.075, 0,0, 628,16
284, 52,-0.975,0.075, 0,0, 880,6
296, 52,0,0.075, 0,0, 1237,12
308, 52,0.975,0.075, 0,0, 862,7
320, 52,2.25,0.075, 1,0, 621,14
332, 52,3.6,0.075, 0,0, 0,0
273, 59.5,-2.25,0.075, 0,0, 545,9
285, 59.5,-0.975,0.075, 0,0, 817,5
297, 59.5,0,0.075, 0,0, 1079,5
309, 59.5,0.975,0.075, 0,0, 783,8
321, 59.5,2.25,0.075, 0,0, 531,10
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 6,0, 43019,95
286, 281.5,-0.975,0.075, 3,0, 89715,81
298, 281.5,0,0.075, 7,0, 120092,76
310, 281.5,0.975,0.075, 5,0, 89280,72
322, 281.5,2.25,0.075, 4,0, 42205,103
334, 281.5,3.6,0.075, 0,0, 0,0
349, 14.5,-2.25,0.0835, 0,0, 1269,7
361, 14.5,-0.975,0.0835, 0,0, 1564,23
373, 14.5,0,0.0835, 0,0, 2158,14
385, 14.5,0.975,0.0835, 0,0, 1413,15
397, 14.5,2.25,0.0835, 0,0, 1146,8
409, 14.5,3.6,0.0835, 0,0, 0,0
350, 31,-2.25,0.0835, 0,0, 460,19
362, 31,-0.975,0.0835, 0,0, 532,7
374, 31,0,0.0835, 0,0, 758,12
386, 31,0.975,0.0835, 0,0, 546,7
398, 31,2.25,0.0835, 0,0, 401,7
410, 31,3.6,0.0835, 0,0, 0,0
351, 35,-2.25,0.0835, 0,0, 381,13
363, 35,-0.975,0.0835, 0,0, 517,12
375, 35,0,0.0835, 0,0, 704,4
387, 35,0.975,0.0835, 0,0, 517,11
399, 35,2.25,0.0835, 0,0, 375,14
411, 35,3.6,0.0835, 0,0, 0,0
352, 38.5,-2.25,0.0835, 0,0, 284,6
364, 38.5,-0.975,0.0835, 0,0, 405,3
376, 38.5,0,0.0835, 0,0, 558,8
388, 38.5,0.975,0.0835, 0,0, 379,10
400, 38.5,2.25,0.0835, 0,0, 276,8
412, 38.5,3.6,0.0835, 0,0, 0,0
353, 41.5,-2.25,0.0835, 0,0, 286,8
365, 41.5,-0.975,0.0835, 0,0, 375,3
377, 41.5,0,0.0835, 0,0, 544,6
389, 41.5,0.975,0.0835, 0,0, 398,4
401, 41.5,2.25,0.0835, 0,0, 272,7
413, 41.5,3.6,0.0835, 0,0, 0,0
354, 44,-2.25,0.0835, 0,0, 177,2
366, 44,-0.975,0.0835, 0,0, 282,1
378, 44,0,0.0835, 0,0, 362,2
390, 44,0.975,0.0835, 0,0, 242,6
402, 44,2.25,0.0835, 0,0, 176,2
414, 44,3.6,0.0835, 0,0, 0,0
355, 46.5,-2.25,0.0835, 0,0, 284,3
367, 46.5,-0.975,0.0835, 0,0, 394,6
379, 46.5,0,0.0835, 0,0, 557,2
391, 46.5,0.975,0.0835, 0,0, 365,1
403, 46.5,2.25,0.0835, 0,0, 226,2
415, 46.5,3.6,0.0835, 0,0, 0,0
356, 52,-2.25,0.0835, 1,0, 703,10
368, 52,-0.975,0.0835, 0,0, 1037,6
380, 52,0,0.0835, 0,0, 1510,12
392, 52,0.975,0.0835, 0,0, 1030,8
404, 52,2.25,0.0835, 2,0, 650,5
416, 52,3.6,0.0835, 0,0, 0,0
357, 59.5,-2.25,0.0835, 0,0, 604,5
369, 59.5,-0.975,0.0835, 0,0, 960,4
381, 59.5,0,0.0835, 0,0, 1408,2
393, 59.5,0.975,0.0835, 1,0, 944,4
405, 59.5,2.25,0.0835, 0,0, 574,7
417, 59.5,3.6,0.0835, 0,0, 0,0
358, 281.5,-2.25,0.0835, 4,0, 35751,70
370, 281.5,-0.975,0.0835, 8,0, 82789,49
382, 281.5,0,0.0835, 15,0, 103249,42
394, 281.5,0.975,0.0835, 8,0, 82980,50
406, 281.5,2.25,0.0835, 2,0, 34917,70
418, 281.5,3.6,0.0835, 0,0, 0,0
433, 14.5,-2.25,0.09, 0,0, 1441,16
445, 14.5,-0.975,0.09, 0,0, 1858,21
457, 14.5,0,0.09, 0,0, 2515,30
469, 14.5,0.975,0.09, 0,0, 1796,23
481, 14.5,2.25,0.09, 0,0, 1309,16
493, 14.5,3.6,0.09, 0,0, 0,0
434, 31,-2.25,0.09, 0,0, 540,11
446, 31,-0.975,0.09, 0,0, 642,18
458, 31,0,0.09, 0,0, 960,10
470, 31,0.975,0.09, 0,0, 667,10
482, 31,2.25,0.09, 0,0, 508,9
494, 31,3.6,0.09, 0,0, 0,0
435, 35,-2.25,0.09, 0,0, 441,17
447, 35,-0.975,0.09, 0,0, 652,12
459, 35,0,0.09, 0,0, 880,10
471, 35,0.975,0.09, 0,0, 672,15
483, 35,2.25,0.09, 0,0, 442,12
495, 35,3.6,0.09, 0,0, 0,0
436, 38.5,-2.25,0.09, 0,0, 358,8
448, 38.5,-0.975,0.09, 0,0, 515,8
460, 38.5,0,0.09, 0,0, 661,4
472, 38.5,0.975,0.09, 0,0, 436,4
484, 38.5,2.25,0.09, 0,0, 305,3
496, 38.5,3.6,0.09, 0,0, 0,0
437, 41.5,-2.25,0.09, 0,0, 336,7
449, 41.5,-0.975,0.09, 0,0, 473,1
461, 41.5,0,0.09, 0,0, 702,9
473, 41.5,0.975,0.09, 0,0, 472,4
485, 41.5,2.25,0.09, 0,0, 325,5
497, 41.5,3.6,0.09, 0,0, 0,0
438, 44,-2.25,0.09, 0,0, 219,3
450, 44,-0.975,0.09, 0,0, 319,8
462, 44,0,0.09, 0,0, 501,4
474, 44,0.975,0.09, 0,0, 274,2
486, 44,2.25,0.09, 0,0, 208,4
498, 44,3.6,0.09, 0,0, 0,0
439, 46.5,-2.25,0.09, 0,0, 346,6
451, 46.5,-0.975,0.09, 0,0, 522,7
463, 46.5,0,0.09, 0,0, 647,6
475, 46.5,0.975,0.09, 0,0, 478,7
487, 46.5,2.25,0.09, 0,0, 303,4
499, 46.5,3.6,0.09, 0,0, 0,0
440, 52,-2.25,0.09, 1,0, 853,13
452, 52,-0.975,0.09, 0,0, 1347,8
464, 52,0,0.09, 1,0, 1845,9
476, 52,0.975,0.09, 1,0, 1284,5
488, 52,2.25,0.09, 0,0, 819,13
500, 52,3.6,0.09, 0,0, 0,0
441, 59.5,-2.25,0.09, 0,0, 729,5
453, 59.5,-0.975,0.09, 0,0, 1231,4
465, 59.5,0,0.09, 0,0, 1784,6
477, 59.5,0.975,0.09, 0,0, 1225,4
489, 59.5,2.25,0.09, 0,0, 773,7
501, 59.5,3.6,0.09, 0,0, 0,0
442, 281.5,-2.25,0.09, 1,0, 33726,51
454, 281.5,-0.975,0.09, 12,0, 82908,56
466, 281.5,0,0.09, 9,0, 98802,42
478, 281.5,0.975,0.09, 7,0, 82585,51
490, 281.5,2.25,0.09, 2,0, 33999,41
502, 281.5,3.6,0.09, 0,0, 0,0
517, 14.5,-2.25,0.0965, 0,0, 2286,12
529, 14.5,-0.975,0.0965, 1,0, 3056,19
541, 14.5,0,0.0965, 0,0, 4133,32
553, 14.5,0.975,0.0965, 0,0, 2848,13
565, 14.5,2.25,0.0965, 0,0, 2139,10
577, 14.5,3.6,0.0965, 0,0, 0,0
518, 31,-2.25,0.0965, 1,0, 772,19
530, 31,-0.975,0.0965, 0,0, 1202,18
542, 31,0,0.0965, 0,0, 1617,16
554, 31,0.975,0.0965, 0,0, 1131,14
566, 31,2.25,0.0965, 0,0, 779,12
578, 31,3.6,0.0965, 0,0, 0,0
519, 35,-2.25,0.0965, 0,0, 785,19
531, 35,-0.975,0.0965, 0,0, 1117,18
543, 35,0,0.0965, 0,0, 1479,22
555, 35,0.975,0.0965, 0,0, 1041,13
567, 35,2.25,0.0965, 0,0, 725,14
579, 35,3.6,0.0965, 0,0, 0,0
520, 38.5,-2.25,0.0965, 1,0, 571,9
532, 38.5,-0.975,0.0965, 0,0, 849,7
544, 38.5,0,0.0965, 0,0, 1125,6
556, 38.5,0.975,0.0965, 0,0, 822,9
568, 38.5,2.25,0.0965, 0,0, 478,9
580, 38.5,3.6,0.0965, 0,0, 0,0
521, 41.5,-2.25,0.0965, 0,0, 556,10
533, 41.5,-0.975,0.0965, 0,0, 816,4
545, 41.5,0,0.0965, 0,0, 1147,4
557, 41.5,0.975,0.0965, 0,0, 882,7
569, 41.5,2.25,0.0965, 0,0, 518,10
581, 41.5,3.6,0.0965, 0,0, 0,0
522, 44,-2.25,0.0965, 0,0, 377,3
534, 44,-0.975,0.0965, 0,0, 518,5
