i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
97, 14.5,-2.25,0.03, 0,0, 3526,86
109, 14.5,-0.975,0.03, 0,0, 1655,77
121, 14.5,0,0.03, 0,0, 2095,111
133, 14.5,0.975,0.03, 0,0, 1595,78
145, 14.5,2.25,0.03, 0,0, 3090,93
157, 14.5,3.6,0.03, 0,0, 0,0
98, 31,-2.25,0.03, 0,0, 1043,68
110, 31,-0.975,0.03, 0,0, 523,39
122, 31,0,0.03, 0,0, 704,70
134, 31,0.975,0.03, 0,0, 489,36
146, 31,2.25,0.03, 0,0, 947,65
158, 31,3.6,0.03, 0,0, 0,0
99, 35,-2.25,0.03, 0,0, 1014,60
111, 35,-0.975,0.03, 0,0, 484,46
123, 35,0,0.03, 0,0, 655,65
135, 35,0.975,0.03, 0,0, 485,37
147, 35,2.25,0.03, 0,0, 896,42
159, 35,3.6,0.03, 0,0, 0,0
100, 38.5,-2.25,0.03, 0,0, 688,47
112, 38.5,-0.975,0.03, 0,0, 326,22
124, 38.5,0,0.03, 0,0, 438,45
136, 38.5,0.975,0.03, 0,0, 314,28
148, 38.5,2.25,0.03, 0,0, 651,36
160, 38.5,3.6,0.03, 0,0, 0,0
101, 41.5,-2.25,0.03, 1,0, 699,42
113, 41.5,-0.975,0.03, 0,0, 334,27
125, 41.5,0,0.03, 0,0, 454,27
137, 41.5,0.975,0.03, 0,0, 308,23
149, 41.5,2.25,0.03, 0,0, 661,39
161, 41.5,3.6,0.03, 0,0, 0,0
102, 44,-2.25,0.03, 0,0, 440,25
114, 44,-0.975,0.03, 0,0, 222,24
126, 44,0,0.03, 0,0, 283,23
138, 44,0.975,0.03, 0,0, 212,18
150, 44,2.25,0.03, 0,0, 400,16
162, 44,3.6,0.03, 0,0, 0,0
103, 46.5,-2.25,0.03, 0,0, 708,37
115, 46.5,-0.975,0.03, 0,0, 329,22
127, 46.5,0,0.03, 0,0, 426,31
139, 46.5,0.975,0.03, 0,0, 344,31
151, 46.5,2.25,0.03, 0,0, 711,40
163, 46.5,3.6,0.03, 0,0, 0,0
104, 52,-2.25,0.03, 0,0, 1913,97
116, 52,-0.975,0.03, 0,0, 1002,73
128, 52,0,0.03, 0,0, 1261,76
140, 52,0.975,0.03, 0,0, 895,64
152, 52,2.25,0.03, 0,0, 1767,82
164, 52,3.6,0.03, 0,0, 0,0
105, 59.5,-2.25,0.03, 0,0, 1744,76
117, 59.5,-0.975,0.03, 0,0, 925,66
129, 59.5,0,0.03, 0,0, 1315,67
141, 59.5,0.975,0.03, 0,0, 853,52
153, 59.5,2.25,0.03, 0,0, 1628,77
165, 59.5,3.6,0.03, 0,0, 0,0
106, 281.5,-2.25,0.03, 2,0, 33696,783
118, 281.5,-0.975,0.03, 2,0, 19021,592
130, 281.5,0,0.03, 1,0, 28070,800
142, 281.5,0.975,0.03, 0,0, 18200,540
154, 281.5,2.25,0.03, 1,0, 32394,728
166, 281.5,3.6,0.03, 0,0, 0,0
181, 14.5,-2.25,0.065, 0,0, 3283,59
193, 14.5,-0.975,0.065, 0,0, 1927,82
205, 14.5,0,0.065, 1,0, 2413,98
217, 14.5,0.975,0.065, 0,0, 1922,78
229, 14.5,2.25,0.065, 0,0, 3035,52
241, 14.5,3.6,0.065, 0,0, 0,0
182, 31,-2.25,0.065, 0,0, 1196,67
194, 31,-0.975,0.065, 1,0, 740,52
206, 31,0,0.065, 0,0, 835,53
218, 31,0.975,0.065, 0,0, 656,48
230, 31,2.25,0.065, 0,0, 1069,56
242, 31,3.6,0.065, 0,0, 0,0
183, 35,-2.25,0.065, 0,0, 1146,74
195, 35,-0.975,0.065, 0,0, 659,42
207, 35,0,0.065, 0,0, 846,49
219, 35,0.975,0.065, 0,0, 655,53
231, 35,2.25,0.065, 0,0, 1079,50
243, 35,3.6,0.065, 0,0, 0,0
184, 38.5,-2.25,0.065, 0,0, 832,42
196, 38.5,-0.975,0.065, 0,0, 526,34
208, 38.5,0,0.065, 0,0, 664,35
220, 38.5,0.975,0.065, 0,0, 495,28
232, 38.5,2.25,0.065, 0,0, 795,38
244, 38.5,3.6,0.065, 0,0, 0,0
185, 41.5,-2.25,0.065, 0,0, 870,55
197, 41.5,-0.975,0.065, 0,0, 479,32
209, 41.5,0,0.065, 0,0, 687,37
221, 41.5,0.975,0.065, 0,0, 511,38
233, 41.5,2.25,0.065, 0,0, 797,32
