i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
225, 59.5,0.975,0.065, 61,0, 1173,117
237, 59.5,2.25,0.065, 53,3, 1362,81
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 648,10, 5924,210
202, 281.5,-0.975,0.065, 873,13, 6063,361
214, 281.5,0,0.065, 1223,10, 6710,377
226, 281.5,0.975,0.065, 890,10, 6100,361
238, 281.5,2.25,0.065, 598,8, 5971,216
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 313,6, 2957,73
277, 14.5,-0.975,0.075, 203,5, 3642,141
289, 14.5,0,0.075, 245,3, 3723,210
301, 14.5,0.975,0.075, 228,17, 3714,149
313, 14.5,2.25,0.075, 238,1, 2969,50
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 94,3, 1943,74
278, 31,-0.975,0.075, 106,12, 1942,130
290, 31,0,0.075, 104,6, 1610,125
302, 31,0.975,0.075, 97,4, 1814,107
314, 31,2.25,0.075, 89,6, 1943,79
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 103,8, 1599,78
279, 35,-0.975,0.075, 109,4, 1474,111
291, 35,0,0.075, 114,12, 1268,137
303, 35,0.975,0.075, 100,11, 1450,128
315, 35,2.25,0.075, 80,2, 1574,80
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 74,4, 1091,62
280, 38.5,-0.975,0.075, 52,5, 1019,118
292, 38.5,0,0.075, 88,4, 1036,114
304, 38.5,0.975,0.075, 57,0, 989,97
316, 38.5,2.25,0.075, 58,1, 1127,61
328, 38.5,3.6,0.075, 0,0, 0,0
269, 41.5,-2.25,0.075, 63,5, 1106,75
281, 41.5,-0.975,0.075, 60,5, 1079,103
293, 41.5,0,0.075, 66,3, 1110,123
305, 41.5,0.975,0.075, 53,4, 1062,114
317, 41.5,2.25,0.075, 74,2, 1175,90
329, 41.5,3.6,0.075, 0,0, 0,0
270, 44,-2.25,0.075, 51,1, 835,62
282, 44,-0.975,0.075, 45,2, 835,95
294, 44,0,0.075, 56,4, 681,89
306, 44,0.975,0.075, 26,2, 759,79
318, 44,2.25,0.075, 35,1, 822,52
330, 44,3.6,0.075, 0,0, 0,0
271, 46.5,-2.25,0.075, 78,1, 1216,72
283, 46.5,-0.975,0.075, 67,1, 1154,122
295, 46.5,0,0.075, 79,2, 1046,107
307, 46.5,0.975,0.075, 51,1, 1098,115
319, 46.5,2.25,0.075, 61,1, 1310,64
331, 46.5,3.6,0.075, 0,0, 0,0
272, 52,-2.25,0.075, 154,7, 2844,155
284, 52,-0.975,0.075, 179,8, 2505,246
296, 52,0,0.075, 228,5, 2364,275
308, 52,0.975,0.075, 156,7, 2482,233
320, 52,2.25,0.075, 138,5, 2812,156
332, 52,3.6,0.075, 0,0, 0,0
273, 59.5,-2.25,0.075, 111,4, 1805,96
285, 59.5,-0.975,0.075, 143,4, 1656,139
297, 59.5,0,0.075, 174,6, 1613,148
309, 59.5,0.975,0.075, 116,5, 1624,147
321, 59.5,2.25,0.075, 109,2, 1903,86
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 1133,7, 8060,221
286, 281.5,-0.975,0.075, 1669,12, 9506,379
298, 281.5,0,0.075, 2047,12, 10042,406
310, 281.5,0.975,0.075, 1573,13, 9476,376
322, 281.5,2.25,0.075, 1028,7, 8372,199
334, 281.5,3.6,0.075, 0,0, 0,0
349, 14.5,-2.25,0.0835, 300,4, 2558,57
361, 14.5,-0.975,0.0835, 244,15, 3223,139
373, 14.5,0,0.0835, 295,12, 3247,173
385, 14.5,0.975,0.0835, 213,10, 3198,144
397, 14.5,2.25,0.0835, 271,1, 2560,60
409, 14.5,3.6,0.0835, 0,0, 0,0
350, 31,-2.25,0.0835, 99,6, 1606,73
362, 31,-0.975,0.0835, 111,6, 1711,83
374, 31,0,0.0835, 103,6, 1438,126
386, 31,0.975,0.0835, 97,8, 1657,96
398, 31,2.25,0.0835, 96,7, 1538,50
410, 31,3.6,0.0835, 0,0, 0,0
351, 35,-2.25,0.0835, 114,8, 1470,90
363, 35,-0.975,0.0835, 104,4, 1332,105
375, 35,0,0.0835, 136,8, 1166,130
387, 35,0.975,0.0835, 103,4, 1325,113
399, 35,2.25,0.0835, 102,7, 1383,68
411, 35,3.6,0.0835, 0,0, 0,0
352, 38.5,-2.25,0.0835, 85,1, 994,51
364, 38.5,-0.975,0.0835, 67,9, 899,81
376, 38.5,0,0.0835, 75,4, 878,85
388, 38.5,0.975,0.0835, 87,3, 906,92
400, 38.5,2.25,0.0835, 75,4, 996,56
412, 38.5,3.6,0.0835, 0,0, 0,0
353, 41.5,-2.25,0.0835, 85,6, 987,61
365, 41.5,-0.975,0.0835, 89,2, 981,98
377, 41.5,0,0.0835, 98,4, 938,91
389, 41.5,0.975,0.0835, 88,4, 1041,119
401, 41.5,2.25,0.0835, 86,3, 992,78
413, 41.5,3.6,0.0835, 0,0, 0,0
354, 44,-2.25,0.0835, 63,4, 745,49
366, 44,-0.975,0.0835, 55,2, 701,69
378, 44,0,0.0835, 57,2, 651,74
390, 44,0.975,0.0835, 56,0, 731,63
402, 44,2.25,0.0835, 48,2, 734,50
414, 44,3.6,0.0835, 0,0, 0,0
355, 46.5,-2.25,0.0835, 67,1, 1118,73
367, 46.5,-0.975,0.0835, 75,3, 1052,102
379, 46.5,0,0.0835, 96,2, 951,87
391, 46.5,0.975,0.0835, 75,0, 1022,98
403, 46.5,2.25,0.0835, 74,2, 1086,47
415, 46.5,3.6,0.0835, 0,0, 0,0
356, 52,-2.25,0.0835, 183,4, 2535,134
368, 52,-0.975,0.0835, 222,10, 2343,206
380, 52,0,0.0835, 258,8, 2145,196
392, 52,0.975,0.0835, 200,9, 2271,202
404, 52,2.25,0.0835, 151,0, 2474,117
416, 52,3.6,0.0835, 0,0, 0,0
357, 59.5,-2.25,0.0835, 152,1, 1590,71
369, 59.5,-0.975,0.0835, 158,5, 1539,110
381, 59.5,0,0.0835, 212,2, 1435,104
393, 59.5,0.975,0.0835, 145,2, 1498,130
405, 59.5,2.25,0.0835, 145,2, 1570,59
417, 59.5,3.6,0.0835, 0,0, 0,0
358, 281.5,-2.25,0.0835, 1035,8, 7309,162
370, 281.5,-0.975,0.0835, 1695,11, 8842,275
382, 281.5,0,0.0835, 1966,8, 9235,199
394, 281.5,0.975,0.0835, 1689,5, 8747,217
406, 281.5,2.25,0.0835, 1035,10, 7196,173
418, 281.5,3.6,0.0835, 0,0, 0,0
433, 14.5,-2.25,0.09, 350,7, 2668,66
445, 14.5,-0.975,0.09, 315,8, 3345,132
457, 14.5,0,0.09, 305,13, 3282,151
469, 14.5,0.975,0.09, 284,11, 3257,129
481, 14.5,2.25,0.09, 311,2, 2603,53
493, 14.5,3.6,0.09, 0,0, 0,0
434, 31,-2.25,0.09, 140,7, 1593,66
446, 31,-0.975,0.09, 130,12, 1713,78
458, 31,0,0.09, 141,7, 1396,76
470, 31,0.975,0.09, 124,3, 1691,107
