i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 1,0, 11024,19
202, 281.5,-0.975,0.065, 5,0, 23691,35
214, 281.5,0,0.065, 1,0, 37343,35
226, 281.5,0.975,0.065, 2,0, 23906,20
238, 281.5,2.25,0.065, 1,0, 10747,21
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 0,0, 584,7
277, 14.5,-0.975,0.075, 0,0, 724,10
289, 14.5,0,0.075, 0,0, 1221,9
301, 14.5,0.975,0.075, 0,0, 708,9
313, 14.5,2.25,0.075, 0,0, 535,7
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 0,0, 188,8
278, 31,-0.975,0.075, 0,0, 259,6
290, 31,0,0.075, 0,0, 404,7
302, 31,0.975,0.075, 0,0, 257,6
314, 31,2.25,0.075, 0,0, 192,4
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 0,0, 183,5
279, 35,-0.975,0.075, 0,0, 231,3
291, 35,0,0.075, 0,0, 356,3
303, 35,0.975,0.075, 0,0, 258,10
315, 35,2.25,0.075, 0,0, 174,8
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 0,0, 123,2
280, 38.5,-0.975,0.075, 0,0, 179,6
292, 38.5,0,0.075, 0,0, 284,0
304, 38.5,0.975,0.075, 0,0, 187,2
316, 38.5,2.25,0.075, 0,0, 119,1
328, 38.5,3.6,0.075, 0,0, 0,0
269, 41.5,-2.25,0.075, 0,0, 113,2
281, 41.5,-0.975,0.075, 0,0, 181,5
293, 41.5,0,0.075, 0,0, 285,6
305, 41.5,0.975,0.075, 0,0, 172,7
317, 41.5,2.25,0.075, 0,0, 103,3
329, 41.5,3.6,0.075, 0,0, 0,0
270, 44,-2.25,0.075, 0,0, 86,2
282, 44,-0.975,0.075, 0,0, 114,0
294, 44,0,0.075, 0,0, 202,5
306, 44,0.975,0.075, 0,0, 128,3
318, 44,2.25,0.075, 0,0, 88,1
330, 44,3.6,0.075, 0,0, 0,0
271, 46.5,-2.25,0.075, 0,0, 110,2
283, 46.5,-0.975,0.075, 0,0, 162,2
295, 46.5,0,0.075, 0,0, 280,1
307, 46.5,0.975,0.075, 0,0, 181,0
