i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
249, 59.5,3.6,0.065, 0,0, 0,0
190, 281.5,-2.25,0.065, 675,2, 2019,16
202, 281.5,-0.975,0.065, 1229,7, 2832,15
214, 281.5,0,0.065, 1792,9, 4026,29
226, 281.5,0.975,0.065, 1258,3, 2784,13
238, 281.5,2.25,0.065, 628,4, 1894,16
250, 281.5,3.6,0.065, 0,0, 0,0
265, 14.5,-2.25,0.075, 22,0, 505,15
277, 14.5,-0.975,0.075, 21,2, 361,14
289, 14.5,0,0.075, 32,1, 467,16
301, 14.5,0.975,0.075, 17,0, 407,12
313, 14.5,2.25,0.075, 23,0, 521,8
325, 14.5,3.6,0.075, 0,0, 0,0
266, 31,-2.25,0.075, 10,2, 194,10
278, 31,-0.975,0.075, 16,1, 166,11
290, 31,0,0.075, 15,1, 184,10
302, 31,0.975,0.075, 13,1, 148,13
314, 31,2.25,0.075, 13,0, 227,17
326, 31,3.6,0.075, 0,0, 0,0
267, 35,-2.25,0.075, 6,0, 200,13
279, 35,-0.975,0.075, 9,1, 179,11
291, 35,0,0.075, 8,0, 208,9
303, 35,0.975,0.075, 12,1, 163,9
315, 35,2.25,0.075, 11,0, 206,8
327, 35,3.6,0.075, 0,0, 0,0
268, 38.5,-2.25,0.075, 10,0, 219,12
280, 38.5,-0.975,0.075, 5,0, 179,20
292, 38.5,0,0.075, 10,0, 190,14
304, 38.5,0.975,0.075, 9,1, 169,11
316, 38.5,2.25,0.075, 8,0, 183,12
328, 38.5,3.6,0.075, 0,0, 0,0
269, 41.5,-2.25,0.075, 8,0, 228,6
281, 41.5,-0.975,0.075, 10,1, 215,14
293, 41.5,0,0.075, 19,1, 265,14
305, 41.5,0.975,0.075, 6,0, 203,15
317, 41.5,2.25,0.075, 9,1, 228,15
329, 41.5,3.6,0.075, 0,0, 0,0
270, 44,-2.25,0.075, 9,0, 163,5
282, 44,-0.975,0.075, 4,0, 144,11
294, 44,0,0.075, 6,0, 167,6
306, 44,0.975,0.075, 4,0, 152,4
318, 44,2.25,0.075, 7,0, 174,10
330, 44,3.6,0.075, 0,0, 0,0
271, 46.5,-2.25,0.075, 11,1, 280,15
283, 46.5,-0.975,0.075, 10,0, 211,11
295, 46.5,0,0.075, 11,0, 239,6
307, 46.5,0.975,0.075, 14,0, 206,5
319, 46.5,2.25,0.075, 8,0, 281,8
331, 46.5,3.6,0.075, 0,0, 0,0
272, 52,-2.25,0.075, 18,0, 685,27
284, 52,-0.975,0.075, 32,3, 514,14
296, 52,0,0.075, 30,4, 599,27
308, 52,0.975,0.075, 28,1, 486,23
320, 52,2.25,0.075, 22,1, 652,22
332, 52,3.6,0.075, 0,0, 0,0
273, 59.5,-2.25,0.075, 15,0, 397,14
285, 59.5,-0.975,0.075, 25,1, 342,12
297, 59.5,0,0.075, 43,1, 393,12
309, 59.5,0.975,0.075, 24,1, 336,11
321, 59.5,2.25,0.075, 18,0, 441,15
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 923,6, 3153,35
286, 281.5,-0.975,0.075, 1960,7, 4626,29
298, 281.5,0,0.075, 2465,5, 5618,20
310, 281.5,0.975,0.075, 1917,7, 4779,18
322, 281.5,2.25,0.075, 909,4, 3131,26
334, 281.5,3.6,0.075, 0,0, 0,0
349, 14.5,-2.25,0.0835, 28,1, 648,12
361, 14.5,-0.975,0.0835, 26,2, 464,20
373, 14.5,0,0.0835, 27,0, 501,15
385, 14.5,0.975,0.0835, 35,1, 435,21
397, 14.5,2.25,0.0835, 26,0, 599,11
409, 14.5,3.6,0.0835, 0,0, 0,0
350, 31,-2.25,0.0835, 15,0, 223,5
362, 31,-0.975,0.0835, 12,0, 188,7
374, 31,0,0.0835, 23,1, 237,8
386, 31,0.975,0.0835, 8,0, 173,9
